数据集名称,指标名称,地区,年份,数值,单位
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,北京,2024,6115.47,公斤/公顷
主要农作物单位面积产量,夏收粮食单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,北京,2024,6179.63,公斤/公顷
主要农作物单位面积产量,稻谷单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,早稻单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,中稻和一季晚稻单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,双季晚稻单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,小麦单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,冬小麦单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,春小麦单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,玉米单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,谷子单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,高粱单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,大麦单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,豆类单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,大豆单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,绿豆单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,红小豆单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,马铃薯单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,棉花单位面积产量 (公斤/公顷) ,北京,2024,1112.90,公斤/公顷
主要农作物单位面积产量,油料单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,花生单位面积产量 (公斤/公顷) ,北京,2024,3509.96,公斤/公顷
主要农作物单位面积产量,油菜籽单位面积产量 (公斤/公顷) ,北京,2024,1144.31,公斤/公顷
主要农作物单位面积产量,芝麻单位面积产量 (公斤/公顷) ,北京,2024,1197.99,公斤/公顷
主要农作物单位面积产量,胡麻籽单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,葵花籽单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,麻类单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,黄红麻单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,大麻单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,苎麻单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,亚麻单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,烟叶单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,烤烟单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,糖料单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,甘蔗单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,甜菜单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,蔬菜单位面积产量 (公斤/公顷) ,北京,2024,,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,北京,2023,5340.61,公斤/公顷
主要农作物单位面积产量,夏收粮食单位面积产量 (公斤/公顷) ,北京,2023,,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,北京,2023,,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,北京,2023,5501.05,公斤/公顷
主要农作物单位面积产量,稻谷单位面积产量 (公斤/公顷) ,北京,2023,,公斤/公顷
主要农作物单位面积产量,早稻单位面积产量 (公斤/公顷) ,北京,2023,,公斤/公顷
主要农作物单位面积产量,中稻和一季晚稻单位面积产量 (公斤/公顷) ,北京,2023,,公斤/公顷
