数据集名称,指标名称,地区,年份,数值,单位
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,北京,2024,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均棉花出售量 (公斤) ,北京,2024,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均油料出售量 (公斤) ,北京,2024,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均麻类出售量 (公斤) ,北京,2024,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均烟叶出售量 (公斤) ,北京,2024,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均蔬菜出售量 (公斤) ,北京,2024,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均水果出售量 (公斤) ,北京,2024,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,北京,2023,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均棉花出售量 (公斤) ,北京,2023,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均油料出售量 (公斤) ,北京,2023,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均麻类出售量 (公斤) ,北京,2023,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均烟叶出售量 (公斤) ,北京,2023,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均蔬菜出售量 (公斤) ,北京,2023,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均水果出售量 (公斤) ,北京,2023,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,北京,2022,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均棉花出售量 (公斤) ,北京,2022,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均油料出售量 (公斤) ,北京,2022,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均麻类出售量 (公斤) ,北京,2022,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均烟叶出售量 (公斤) ,北京,2022,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均蔬菜出售量 (公斤) ,北京,2022,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均水果出售量 (公斤) ,北京,2022,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,北京,2021,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均棉花出售量 (公斤) ,北京,2021,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均油料出售量 (公斤) ,北京,2021,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均麻类出售量 (公斤) ,北京,2021,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均烟叶出售量 (公斤) ,北京,2021,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均蔬菜出售量 (公斤) ,北京,2021,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均水果出售量 (公斤) ,北京,2021,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,北京,2020,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均棉花出售量 (公斤) ,北京,2020,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均油料出售量 (公斤) ,北京,2020,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均麻类出售量 (公斤) ,北京,2020,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均烟叶出售量 (公斤) ,北京,2020,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均蔬菜出售量 (公斤) ,北京,2020,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均水果出售量 (公斤) ,北京,2020,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,北京,2019,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均棉花出售量 (公斤) ,北京,2019,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均油料出售量 (公斤) ,北京,2019,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均麻类出售量 (公斤) ,北京,2019,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均烟叶出售量 (公斤) ,北京,2019,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均蔬菜出售量 (公斤) ,北京,2019,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均水果出售量 (公斤) ,北京,2019,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,北京,2018,,公斤
