数据集名称,指标名称,地区,年份,数值,单位
牲畜出栏量,猪出栏数量 (万头) ,北京,2024,,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2024,,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2024,,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2024,,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2023,,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2023,,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2023,,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2023,,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2022,,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2022,,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2022,,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2022,,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2021,,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2021,,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2021,,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2021,,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2020,,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2020,,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2020,13.08,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2020,936.44,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2019,,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2019,,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2019,22.62,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2019,1113.06,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2018,169.44,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2018,5.30,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2018,35.64,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2018,1615.62,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2017,242.07,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2017,8.43,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2017,64.51,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2017,3115.20,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2016,275.34,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2016,7.38,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2016,69.64,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2016,3882.74,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2015,284.42,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2015,8.44,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2015,70.99,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2015,6688.44,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2014,305.76,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2014,9.20,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2014,68.67,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2014,7550.69,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2013,314.39,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2013,11.24,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2013,70.77,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2013,8529.83,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2012,306.11,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2012,11.88,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2012,71.80,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2012,10089.37,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2011,312.20,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2011,11.40,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2011,78.62,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2011,10736.65,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2010,311.93,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2010,11.09,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2010,86.44,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2010,11779.74,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2009,314.04,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2009,11.69,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2009,86.73,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2009,12355.01,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2008,292.69,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2008,11.90,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2008,89.98,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2008,11982.98,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2007,288.56,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2007,15.64,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2007,117.39,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2007,12946.73,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2006,281.51,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2006,16.94,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2006,126.15,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2006,11402.50,万只
牲畜出栏量,猪出栏数量 (万头) ,北京,2005,448.72,万头
牲畜出栏量,牛出栏数量 (万头) ,北京,2005,24.54,万头
牲畜出栏量,羊出栏数量 (万只) ,北京,2005,256.13,万只
牲畜出栏量,家禽出栏量 (万只) ,北京,2005,16852.53,万只
牲畜出栏量,猪出栏数量 (万头) ,天津,2024,,万头
牲畜出栏量,牛出栏数量 (万头) ,天津,2024,,万头
牲畜出栏量,羊出栏数量 (万只) ,天津,2024,,万只
牲畜出栏量,家禽出栏量 (万只) ,天津,2024,,万只
牲畜出栏量,猪出栏数量 (万头) ,天津,2023,,万头
牲畜出栏量,牛出栏数量 (万头) ,天津,2023,,万头
牲畜出栏量,羊出栏数量 (万只) ,天津,2023,,万只
牲畜出栏量,家禽出栏量 (万只) ,天津,2023,,万只
牲畜出栏量,猪出栏数量 (万头) ,天津,2022,,万头
