数据集名称,指标名称,地区,年份,数值,单位
牲畜饲养,大牲畜年底头数 (万头) ,北京,2024,8.98,万头
牲畜饲养,牛期末数量 (万头) ,北京,2024,8.84,万头
牲畜饲养,马期末数量 (万头) ,北京,2024,0.05,万头
牲畜饲养,驴期末数量 (万头) ,北京,2024,0.08,万头
牲畜饲养,骡期末数量 (万头) ,北京,2024,0.00,万头
牲畜饲养,骆驼期末数量 (万头) ,北京,2024,0.00,万头
牲畜饲养,猪年底头数 (万头) ,北京,2024,28.74,万头
牲畜饲养,羊年底只数 (万头) ,北京,2024,24.02,万头
牲畜饲养,山羊期末数量 (万头) ,北京,2024,9.00,万头
牲畜饲养,绵羊期末数量 (万头) ,北京,2024,15.02,万头
牲畜饲养,大牲畜年底头数 (万头) ,北京,2023,8.50,万头
牲畜饲养,牛期末数量 (万头) ,北京,2023,8.30,万头
牲畜饲养,马期末数量 (万头) ,北京,2023,0.05,万头
牲畜饲养,驴期末数量 (万头) ,北京,2023,0.11,万头
牲畜饲养,骡期末数量 (万头) ,北京,2023,0.01,万头
牲畜饲养,骆驼期末数量 (万头) ,北京,2023,,万头
牲畜饲养,猪年底头数 (万头) ,北京,2023,26.70,万头
牲畜饲养,羊年底只数 (万头) ,北京,2023,22.00,万头
牲畜饲养,山羊期末数量 (万头) ,北京,2023,7.50,万头
牲畜饲养,绵羊期末数量 (万头) ,北京,2023,14.50,万头
牲畜饲养,大牲畜年底头数 (万头) ,北京,2022,8.44,万头
牲畜饲养,牛期末数量 (万头) ,北京,2022,8.19,万头
牲畜饲养,马期末数量 (万头) ,北京,2022,0.07,万头
牲畜饲养,驴期末数量 (万头) ,北京,2022,0.17,万头
牲畜饲养,骡期末数量 (万头) ,北京,2022,0.01,万头
牲畜饲养,骆驼期末数量 (万头) ,北京,2022,,万头
牲畜饲养,猪年底头数 (万头) ,北京,2022,36.78,万头
牲畜饲养,羊年底只数 (万头) ,北京,2022,19.47,万头
牲畜饲养,山羊期末数量 (万头) ,北京,2022,6.13,万头
牲畜饲养,绵羊期末数量 (万头) ,北京,2022,13.34,万头
牲畜饲养,大牲畜年底头数 (万头) ,北京,2021,8.58,万头
牲畜饲养,牛期末数量 (万头) ,北京,2021,8.25,万头
牲畜饲养,马期末数量 (万头) ,北京,2021,0.12,万头
牲畜饲养,驴期末数量 (万头) ,北京,2021,0.20,万头
牲畜饲养,骡期末数量 (万头) ,北京,2021,0.01,万头
牲畜饲养,骆驼期末数量 (万头) ,北京,2021,,万头
牲畜饲养,猪年底头数 (万头) ,北京,2021,59.05,万头
牲畜饲养,羊年底只数 (万头) ,北京,2021,18.02,万头
牲畜饲养,山羊期末数量 (万头) ,北京,2021,5.69,万头
牲畜饲养,绵羊期末数量 (万头) ,北京,2021,12.32,万头
牲畜饲养,大牲畜年底头数 (万头) ,北京,2020,8.58,万头
牲畜饲养,牛期末数量 (万头) ,北京,2020,8.24,万头
牲畜饲养,马期末数量 (万头) ,北京,2020,0.13,万头
牲畜饲养,驴期末数量 (万头) ,北京,2020,0.20,万头
牲畜饲养,骡期末数量 (万头) ,北京,2020,0.01,万头
牲畜饲养,骆驼期末数量 (万头) ,北京,2020,,万头
牲畜饲养,猪年底头数 (万头) ,北京,2020,32.18,万头
牲畜饲养,羊年底只数 (万头) ,北京,2020,16.38,万头
牲畜饲养,山羊期末数量 (万头) ,北京,2020,4.78,万头
牲畜饲养,绵羊期末数量 (万头) ,北京,2020,11.60,万头
牲畜饲养,大牲畜年底头数 (万头) ,北京,2019,8.46,万头
牲畜饲养,牛期末数量 (万头) ,北京,2019,8.11,万头
牲畜饲养,马期末数量 (万头) ,北京,2019,0.12,万头
牲畜饲养,驴期末数量 (万头) ,北京,2019,0.21,万头
牲畜饲养,骡期末数量 (万头) ,北京,2019,0.02,万头
牲畜饲养,骆驼期末数量 (万头) ,北京,2019,,万头
牲畜饲养,猪年底头数 (万头) ,北京,2019,13.19,万头
牲畜饲养,羊年底只数 (万头) ,北京,2019,16.87,万头
牲畜饲养,山羊期末数量 (万头) ,北京,2019,4.80,万头
牲畜饲养,绵羊期末数量 (万头) ,北京,2019,12.07,万头
牲畜饲养,大牲畜年底头数 (万头) ,北京,2018,10.93,万头
牲畜饲养,牛期末数量 (万头) ,北京,2018,10.57,万头
牲畜饲养,马期末数量 (万头) ,北京,2018,0.14,万头
牲畜饲养,驴期末数量 (万头) ,北京,2018,0.19,万头
牲畜饲养,骡期末数量 (万头) ,北京,2018,0.02,万头
牲畜饲养,骆驼期末数量 (万头) ,北京,2018,,万头
牲畜饲养,猪年底头数 (万头) ,北京,2018,45.43,万头
牲畜饲养,羊年底只数 (万头) ,北京,2018,24.24,万头
牲畜饲养,山羊期末数量 (万头) ,北京,2018,5.67,万头
牲畜饲养,绵羊期末数量 (万头) ,北京,2018,18.56,万头
牲畜饲养,大牲畜年底头数 (万头) ,北京,2017,13.29,万头
牲畜饲养,牛期末数量 (万头) ,北京,2017,12.83,万头
牲畜饲养,马期末数量 (万头) ,北京,2017,0.22,万头
牲畜饲养,驴期末数量 (万头) ,北京,2017,0.21,万头
牲畜饲养,骡期末数量 (万头) ,北京,2017,0.03,万头
牲畜饲养,骆驼期末数量 (万头) ,北京,2017,0.00,万头
