数据集名称,指标名称,地区,年份,数值,单位
畜产品产量,肉类产量 (万吨) ,北京,2024,3.59,万吨
畜产品产量,猪肉产量 (万吨) ,北京,2024,1.81,万吨
畜产品产量,牛肉产量 (万吨) ,北京,2024,0.54,万吨
畜产品产量,羊肉产量 (万吨) ,北京,2024,0.24,万吨
畜产品产量,牛奶产量 (万吨) ,北京,2024,27.10,万吨
畜产品产量,绵羊毛产量 (吨) ,北京,2024,3.92,吨
畜产品产量,细羊毛产量 (吨) ,北京,2024,0.27,吨
畜产品产量,半细羊毛产量 (吨) ,北京,2024,1.26,吨
畜产品产量,山羊毛产量 (吨) ,北京,2024,4.45,吨
畜产品产量,羊绒产量 (吨) ,北京,2024,2.66,吨
畜产品产量,禽蛋产量 (万吨) ,北京,2024,9.57,万吨
畜产品产量,蜂蜜产量 (万吨) ,北京,2024,0.18,万吨
畜产品产量,肉类产量 (万吨) ,北京,2023,4.23,万吨
畜产品产量,猪肉产量 (万吨) ,北京,2023,2.70,万吨
畜产品产量,牛肉产量 (万吨) ,北京,2023,0.50,万吨
畜产品产量,羊肉产量 (万吨) ,北京,2023,0.20,万吨
畜产品产量,牛奶产量 (万吨) ,北京,2023,26.50,万吨
畜产品产量,绵羊毛产量 (吨) ,北京,2023,3.92,吨
畜产品产量,细羊毛产量 (吨) ,北京,2023,0.36,吨
畜产品产量,半细羊毛产量 (吨) ,北京,2023,1.25,吨
畜产品产量,山羊毛产量 (吨) ,北京,2023,3.08,吨
畜产品产量,羊绒产量 (吨) ,北京,2023,1.38,吨
畜产品产量,禽蛋产量 (万吨) ,北京,2023,9.10,万吨
畜产品产量,蜂蜜产量 (万吨) ,北京,2023,0.11,万吨
畜产品产量,肉类产量 (万吨) ,北京,2022,4.33,万吨
畜产品产量,猪肉产量 (万吨) ,北京,2022,2.78,万吨
畜产品产量,牛肉产量 (万吨) ,北京,2022,0.43,万吨
畜产品产量,羊肉产量 (万吨) ,北京,2022,0.19,万吨
畜产品产量,牛奶产量 (万吨) ,北京,2022,26.22,万吨
畜产品产量,绵羊毛产量 (吨) ,北京,2022,2.43,吨
畜产品产量,细羊毛产量 (吨) ,北京,2022,1.61,吨
畜产品产量,半细羊毛产量 (吨) ,北京,2022,0.16,吨
畜产品产量,山羊毛产量 (吨) ,北京,2022,1.94,吨
畜产品产量,羊绒产量 (吨) ,北京,2022,2.08,吨
畜产品产量,禽蛋产量 (万吨) ,北京,2022,8.73,万吨
畜产品产量,蜂蜜产量 (万吨) ,北京,2022,0.09,万吨
畜产品产量,肉类产量 (万吨) ,北京,2021,4.42,万吨
畜产品产量,猪肉产量 (万吨) ,北京,2021,2.63,万吨
畜产品产量,牛肉产量 (万吨) ,北京,2021,0.43,万吨
畜产品产量,羊肉产量 (万吨) ,北京,2021,0.19,万吨
畜产品产量,牛奶产量 (万吨) ,北京,2021,25.85,万吨
畜产品产量,绵羊毛产量 (吨) ,北京,2021,2.69,吨
畜产品产量,细羊毛产量 (吨) ,北京,2021,1.00,吨
畜产品产量,半细羊毛产量 (吨) ,北京,2021,1.35,吨
畜产品产量,山羊毛产量 (吨) ,北京,2021,4.15,吨
畜产品产量,羊绒产量 (吨) ,北京,2021,1.90,吨
畜产品产量,禽蛋产量 (万吨) ,北京,2021,9.35,万吨
畜产品产量,蜂蜜产量 (万吨) ,北京,2021,0.10,万吨
