数据集名称,指标名称,地区,年份,数值,单位
造林面积,造林总面积 (千公顷) ,北京,2024,13.47,千公顷
造林面积,当年人工造林面积 (千公顷) ,北京,2024,0.05,千公顷
造林面积,当年飞机播种面积 (千公顷) ,北京,2024,,千公顷
造林面积,封山育林 (千公顷) ,北京,2024,11.28,千公顷
造林面积,用材林当年造林面积 (千公顷) ,北京,2024,,千公顷
造林面积,经济林当年造林面积 (千公顷) ,北京,2024,,千公顷
造林面积,防护林当年造林面积 (千公顷) ,北京,2024,,千公顷
造林面积,薪炭林当年造林面积 (千公顷) ,北京,2024,,千公顷
造林面积,特种用林当年造林面积 (千公顷) ,北京,2024,,千公顷
造林面积,造林总面积 (千公顷) ,北京,2023,0.85,千公顷
造林面积,当年人工造林面积 (千公顷) ,北京,2023,0.39,千公顷
造林面积,当年飞机播种面积 (千公顷) ,北京,2023,,千公顷
造林面积,封山育林 (千公顷) ,北京,2023,,千公顷
造林面积,用材林当年造林面积 (千公顷) ,北京,2023,,千公顷
造林面积,经济林当年造林面积 (千公顷) ,北京,2023,,千公顷
造林面积,防护林当年造林面积 (千公顷) ,北京,2023,,千公顷
造林面积,薪炭林当年造林面积 (千公顷) ,北京,2023,,千公顷
造林面积,特种用林当年造林面积 (千公顷) ,北京,2023,,千公顷
造林面积,造林总面积 (千公顷) ,北京,2022,3.48,千公顷
造林面积,当年人工造林面积 (千公顷) ,北京,2022,3.48,千公顷
造林面积,当年飞机播种面积 (千公顷) ,北京,2022,,千公顷
造林面积,封山育林 (千公顷) ,北京,2022,,千公顷
造林面积,用材林当年造林面积 (千公顷) ,北京,2022,,千公顷
造林面积,经济林当年造林面积 (千公顷) ,北京,2022,,千公顷
造林面积,防护林当年造林面积 (千公顷) ,北京,2022,,千公顷
造林面积,薪炭林当年造林面积 (千公顷) ,北京,2022,,千公顷
造林面积,特种用林当年造林面积 (千公顷) ,北京,2022,,千公顷
造林面积,造林总面积 (千公顷) ,北京,2021,24.78,千公顷
造林面积,当年人工造林面积 (千公顷) ,北京,2021,8.01,千公顷
造林面积,当年飞机播种面积 (千公顷) ,北京,2021,,千公顷
造林面积,封山育林 (千公顷) ,北京,2021,16.67,千公顷
造林面积,用材林当年造林面积 (千公顷) ,北京,2021,,千公顷
造林面积,经济林当年造林面积 (千公顷) ,北京,2021,,千公顷
造林面积,防护林当年造林面积 (千公顷) ,北京,2021,,千公顷
造林面积,薪炭林当年造林面积 (千公顷) ,北京,2021,,千公顷
造林面积,特种用林当年造林面积 (千公顷) ,北京,2021,,千公顷
造林面积,造林总面积 (千公顷) ,北京,2020,41.76,千公顷
造林面积,当年人工造林面积 (千公顷) ,北京,2020,14.91,千公顷
造林面积,当年飞机播种面积 (千公顷) ,北京,2020,,千公顷
造林面积,封山育林 (千公顷) ,北京,2020,26.73,千公顷
造林面积,用材林当年造林面积 (千公顷) ,北京,2020,,千公顷
造林面积,经济林当年造林面积 (千公顷) ,北京,2020,,千公顷
造林面积,防护林当年造林面积 (千公顷) ,北京,2020,,千公顷
造林面积,薪炭林当年造林面积 (千公顷) ,北京,2020,,千公顷
造林面积,特种用林当年造林面积 (千公顷) ,北京,2020,,千公顷
造林面积,造林总面积 (千公顷) ,北京,2019,34.08,千公顷
造林面积,当年人工造林面积 (千公顷) ,北京,2019,18.70,千公顷
造林面积,当年飞机播种面积 (千公顷) ,北京,2019,,千公顷
造林面积,封山育林 (千公顷) ,北京,2019,15.39,千公顷
造林面积,用材林当年造林面积 (千公顷) ,北京,2019,,千公顷
造林面积,经济林当年造林面积 (千公顷) ,北京,2019,,千公顷
造林面积,防护林当年造林面积 (千公顷) ,北京,2019,,千公顷
造林面积,薪炭林当年造林面积 (千公顷) ,北京,2019,,千公顷
造林面积,特种用林当年造林面积 (千公顷) ,北京,2019,,千公顷
造林面积,造林总面积 (千公顷) ,北京,2018,29.98,千公顷
造林面积,当年人工造林面积 (千公顷) ,北京,2018,18.43,千公顷
造林面积,当年飞机播种面积 (千公顷) ,北京,2018,,千公顷
造林面积,封山育林 (千公顷) ,北京,2018,10.00,千公顷
造林面积,用材林当年造林面积 (千公顷) ,北京,2018,,千公顷
造林面积,经济林当年造林面积 (千公顷) ,北京,2018,,千公顷
造林面积,防护林当年造林面积 (千公顷) ,北京,2018,,千公顷
