数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2005,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2006,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2007,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2008,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2009,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2010,2032.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2011,2036.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2012,2060.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2013,1733.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2014,1878.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2015,2700.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2016,3629.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2017,3917.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2018,2629.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2019,1453.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2020,2367.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2021,1283.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2022,1394.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2023,2223.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,内蒙古,2024,1462.8,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2005,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2006,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2007,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2008,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2009,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2010,889.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2011,692.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2012,668.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2013,565.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2014,644.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2015,584.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2016,596.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2017,722.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2018,484.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2019,220.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2020,416.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2021,232.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2022,256.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2023,253.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,内蒙古,2024,224.4,万人次
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2005,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2006,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2007,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2008,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2009,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2010,138.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2011,103.1,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2012,152.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2013,128.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2014,113.1,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2015,113.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2016,179.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2017,126.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2018,144.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2019,46.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2020,115.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2021,76.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2022,117.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2023,114.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,内蒙古,2024,127.4,亿元
