数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2005,337.71,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2006,325.51,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2007,300.48,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2008,267.05,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2009,271.54,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2010,276.0,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2011,265.2,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2012,241.1,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2013,207.72,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2014,195.76,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2015,186.05,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2016,144.45,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2017,133.51,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2018,125.65,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2019,122.84,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2020,120.22,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2021,121.25,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2022,121.14,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2023,123.94,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,北京,2024,129.5,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2005,9487.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2006,9063.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2007,7892.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2008,6927.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2009,7800.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2010,8300.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2011,8864.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2012,7400.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2013,6500.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2014,6600.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2015,7000.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2016,7300.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2017,6900.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2018,4700.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2019,4314.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2020,4130.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2021,4163.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2022,4348.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2023,4528.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,北京,2024,4899.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2005,51366.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2006,50231.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2007,46660.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2008,45004.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2009,43000.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2010,45000.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2011,40691.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2012,39200.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2013,37700.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2014,37400.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2015,36900.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2016,34000.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2017,,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2018,,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2019,,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2020,,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2021,,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2022,,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2023,,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,北京,2024,,台
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2005,18515.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2006,15804.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2007,14828.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2008,13623.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2009,13900.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2010,14100.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2011,14603.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2012,13500.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2013,11600.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2014,11400.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2015,10400.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2016,10200.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2017,9000.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2018,1600.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2019,1300.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2020,1171.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2021,1176.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2022,1398.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2023,1581.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,北京,2024,1669.0,部
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2005,18961.0,台
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2006,32598.0,台
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2007,32082.0,台
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2008,13517.0,台
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2009,14000.0,台
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2010,13200.0,台
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2011,11653.0,台
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2012,7300.0,台
主要农业机械年末拥有量,小型拖拉机数量 (台) ,北京,2013,2400.0,台
