数据集名称,指标名称,地区,年份,数值,单位
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2005,100.59,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2006,104.47,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2007,115.48,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2008,128.1,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2009,146.13,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2010,154.22,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2011,163.37,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2012,166.29,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2013,170.41,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2014,155.1,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2015,154.48,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2016,145.2,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2017,129.83,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2018,114.75,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2019,102.33,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2020,107.57,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2021,122.98,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2022,129.77,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2023,135.6,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2024,139.61,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2005,102.7,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2006,107.5,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2007,103.4,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2008,103.5,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2009,103.4,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2010,95.0,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2011,103.5,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2012,94.9,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2013,97.5,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2014,91.3,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2015,102.6,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2016,95.0,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2017,88.1,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2018,81.1,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2019,89.2,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2020,105.9,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2021,111.3,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2022,102.8,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2023,104.7,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2024,103.0,无
