数据集名称,指标名称,地区,年份,数值,单位
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2005,91255.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2006,96327.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2007,99424.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2008,103240.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2009,109217.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2010,114161.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2011,122227.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2012,126827.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2013,127854.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2014,130263.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2015,132170.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2016,132384.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2017,130993.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2018,120186.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2019,123235.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2020,118818.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2021,116968.39,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2022,,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2023,,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,四川,2024,,吨
