数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,四川,2005,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2006,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2007,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2008,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2009,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2010,2324.0,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2011,1528.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2012,943.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2013,1602.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2014,919.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2015,562.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2016,410.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2017,215.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2018,484.0,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2019,323.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2020,632.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2021,266.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2022,615.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2023,228.0,千公顷
自然灾害,农作物受灾面积 (千公顷) ,四川,2024,212.2,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,四川,2005,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2006,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2007,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2008,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2009,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2010,4326.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2011,4652.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2012,3655.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2013,4555.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2014,1611.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2015,997.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2016,741.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2017,421.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2018,836.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2019,487.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2020,1152.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2021,714.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2022,1103.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2023,741.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,四川,2024,720.6,万人次
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2005,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2006,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2007,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2008,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2009,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2010,489.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2011,360.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2012,402.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2013,1202.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2014,205.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2015,132.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2016,77.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2017,153.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2018,340.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2019,340.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2020,446.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2021,248.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2022,292.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2023,81.1,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,四川,2024,134.3,亿元
