数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,天津,2005,20.0,个
农村基层组织情况,乡数 (个) ,天津,2006,20.0,个
农村基层组织情况,乡数 (个) ,天津,2007,20.0,个
农村基层组织情况,乡数 (个) ,天津,2008,20.0,个
农村基层组织情况,乡数 (个) ,天津,2009,20.0,个
农村基层组织情况,乡数 (个) ,天津,2010,20.0,个
农村基层组织情况,乡数 (个) ,天津,2011,11.0,个
农村基层组织情况,乡数 (个) ,天津,2012,11.0,个
农村基层组织情况,乡数 (个) ,天津,2013,6.0,个
农村基层组织情况,乡数 (个) ,天津,2014,6.0,个
农村基层组织情况,乡数 (个) ,天津,2015,6.0,个
农村基层组织情况,乡数 (个) ,天津,2016,3.0,个
农村基层组织情况,乡数 (个) ,天津,2017,3.0,个
农村基层组织情况,乡数 (个) ,天津,2018,3.0,个
农村基层组织情况,乡数 (个) ,天津,2019,,个
农村基层组织情况,乡数 (个) ,天津,2020,,个
农村基层组织情况,乡数 (个) ,天津,2021,,个
农村基层组织情况,乡数 (个) ,天津,2022,,个
农村基层组织情况,乡数 (个) ,天津,2023,,个
农村基层组织情况,乡数 (个) ,天津,2024,,个
农村基层组织情况,乡镇数 (个) ,天津,2005,140.0,个
农村基层组织情况,乡镇数 (个) ,天津,2006,139.0,个
农村基层组织情况,乡镇数 (个) ,天津,2007,137.0,个
农村基层组织情况,乡镇数 (个) ,天津,2008,136.0,个
农村基层组织情况,乡镇数 (个) ,天津,2009,136.0,个
农村基层组织情况,乡镇数 (个) ,天津,2010,135.0,个
农村基层组织情况,乡镇数 (个) ,天津,2011,134.0,个
农村基层组织情况,乡镇数 (个) ,天津,2012,134.0,个
农村基层组织情况,乡镇数 (个) ,天津,2013,127.0,个
农村基层组织情况,乡镇数 (个) ,天津,2014,127.0,个
农村基层组织情况,乡镇数 (个) ,天津,2015,127.0,个
农村基层组织情况,乡镇数 (个) ,天津,2016,127.0,个
农村基层组织情况,乡镇数 (个) ,天津,2017,127.0,个
农村基层组织情况,乡镇数 (个) ,天津,2018,129.0,个
农村基层组织情况,乡镇数 (个) ,天津,2019,,个
农村基层组织情况,乡镇数 (个) ,天津,2020,,个
农村基层组织情况,乡镇数 (个) ,天津,2021,,个
农村基层组织情况,乡镇数 (个) ,天津,2022,,个
农村基层组织情况,乡镇数 (个) ,天津,2023,,个
农村基层组织情况,乡镇数 (个) ,天津,2024,,个
农村基层组织情况,村民委员会数 (个) ,天津,2005,3821.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2006,3823.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2007,3826.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2008,3838.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2009,3821.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2010,3828.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2011,3784.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2012,3782.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2013,3707.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2014,3698.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2015,3686.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2016,3681.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2017,3680.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2018,3556.0,个
农村基层组织情况,村民委员会数 (个) ,天津,2019,,个
农村基层组织情况,村民委员会数 (个) ,天津,2020,,个
农村基层组织情况,村民委员会数 (个) ,天津,2021,,个
农村基层组织情况,村民委员会数 (个) ,天津,2022,,个
农村基层组织情况,村民委员会数 (个) ,天津,2023,,个
农村基层组织情况,村民委员会数 (个) ,天津,2024,,个
农村基层组织情况,镇数 (个) ,天津,2005,120.0,个
农村基层组织情况,镇数 (个) ,天津,2006,119.0,个
农村基层组织情况,镇数 (个) ,天津,2007,117.0,个
农村基层组织情况,镇数 (个) ,天津,2008,116.0,个
农村基层组织情况,镇数 (个) ,天津,2009,116.0,个
农村基层组织情况,镇数 (个) ,天津,2010,115.0,个
农村基层组织情况,镇数 (个) ,天津,2011,123.0,个
农村基层组织情况,镇数 (个) ,天津,2012,123.0,个
农村基层组织情况,镇数 (个) ,天津,2013,121.0,个
农村基层组织情况,镇数 (个) ,天津,2014,121.0,个
农村基层组织情况,镇数 (个) ,天津,2015,121.0,个
农村基层组织情况,镇数 (个) ,天津,2016,124.0,个
农村基层组织情况,镇数 (个) ,天津,2017,124.0,个
农村基层组织情况,镇数 (个) ,天津,2018,126.0,个
农村基层组织情况,镇数 (个) ,天津,2019,,个
农村基层组织情况,镇数 (个) ,天津,2020,,个
农村基层组织情况,镇数 (个) ,天津,2021,,个
农村基层组织情况,镇数 (个) ,天津,2022,,个
农村基层组织情况,镇数 (个) ,天津,2023,,个
农村基层组织情况,镇数 (个) ,天津,2024,,个
