数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,天津,2005,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2006,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2007,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2008,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2009,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2010,33.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2011,8.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2012,133.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2013,7.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2014,10.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2015,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2016,24.0,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2017,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2018,14.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2019,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2020,17.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2021,6.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2022,4.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2023,26.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,天津,2024,1.9,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,天津,2005,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2006,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2007,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2008,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2009,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2010,0.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2011,3.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2012,88.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2013,8.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2014,3.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2015,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2016,14.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2017,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2018,10.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2019,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2020,12.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2021,4.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2022,0.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2023,13.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,天津,2024,2.1,万人次
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2005,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2006,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2007,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2008,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2009,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2010,0.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2011,0.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2012,32.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2013,1.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2014,1.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2015,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2016,3.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2017,0.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2018,1.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2019,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2020,5.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2021,5.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2022,0.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2023,52.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2024,4.2,亿元
