数据集名称,指标名称,地区,年份,数值,单位
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2005,2.68,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2006,1.47,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2007,1.5,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2008,1.17,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2009,1.18,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2010,1.09,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2011,1.08,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2012,1.08,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2013,1.06,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2014,0.99,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2015,0.78,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2016,0.79,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2017,0.76,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2018,0.8,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2019,2.53,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2020,2.45,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2021,2.65,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2022,2.16,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2023,,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,山西,2024,,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2005,80.12,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2006,51.25,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2007,26.15,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2008,22.21,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2009,20.13,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2010,16.26,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2011,15.61,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2012,16.8,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2013,18.61,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2014,18.95,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2015,21.7,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2016,21.6,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2017,26.14,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2018,34.44,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2019,36.17,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2020,36.66,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2021,33.9,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2022,28.56,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2023,,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,山西,2024,,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2005,170.85,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2006,161.0,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2007,190.49,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2008,215.48,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2009,202.26,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2010,187.97,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2011,170.33,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2012,169.6,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2013,154.18,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2014,152.05,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2015,150.57,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2016,165.65,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2017,168.07,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2018,172.33,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2019,,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2020,,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2021,,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2022,,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2023,,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,山西,2024,,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2005,3795.35,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2006,3471.3,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2007,3482.17,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2008,3530.31,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2009,3561.48,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2010,3638.11,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2011,3694.41,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2012,3696.23,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2013,3667.89,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2014,3664.57,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2015,3612.65,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2016,3591.54,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2017,3577.62,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2018,3555.16,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2019,3524.42,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2020,3541.51,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2021,3587.95,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2022,3611.59,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2023,3641.72,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,山西,2024,,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2005,719.73,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2006,659.1,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2007,699.31,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2008,672.61,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2009,689.35,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2010,678.21,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2011,649.67,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2012,619.25,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2013,598.34,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2014,584.77,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2015,575.6,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2016,564.0,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2017,560.53,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2018,560.27,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2019,546.8,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2020,535.6,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2021,536.65,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2022,534.88,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2023,,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,山西,2024,,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2005,,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2006,,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2007,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2008,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2009,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2010,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2011,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2012,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2013,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2014,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2015,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2016,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2017,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2018,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2019,,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2020,,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2021,,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2022,,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2023,,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,山西,2024,,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2005,746.45,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2006,687.35,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2007,720.76,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2008,692.86,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2009,709.38,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2010,699.14,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2011,668.3,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2012,637.27,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2013,609.94,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2014,594.42,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2015,585.01,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2016,573.55,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2017,570.12,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2018,569.19,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2019,554.8,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2020,536.46,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2021,536.84,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2022,535.05,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2023,,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,山西,2024,,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2005,217.93,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2006,221.13,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2007,204.78,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2008,190.63,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2009,178.81,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2010,172.47,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2011,169.03,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2012,166.53,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2013,158.74,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2014,149.51,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2015,137.4,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2016,134.13,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2017,130.79,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2018,150.53,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2019,129.14,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2020,119.61,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2021,92.21,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2022,112.45,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2023,117.0,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,山西,2024,,千公顷
主要农作物播种面积,大麦播种面积 (千公顷) ,山西,2005,,千公顷
主要农作物播种面积,大麦播种面积 (千公顷) ,山西,2006,,千公顷
主要农作物播种面积,大麦播种面积 (千公顷) ,山西,2007,0.0,千公顷
主要农作物播种面积,大麦播种面积 (千公顷) ,山西,2008,0.0,千公顷
主要农作物播种面积,大麦播种面积 (千公顷) ,山西,2009,0.0,千公顷
主要农作物播种面积,大麦播种面积 (千公顷) ,山西,2010,0.0,千公顷
主要农作物播种面积,大麦播种面积 (千公顷) ,山西,2011,0.0,千公顷
主要农作物播种面积,大麦播种面积 (千公顷) ,山西,2012,0.0,千公顷
主要农作物播种面积,大麦播种面积 (千公顷) ,山西,2013,0.0,千公顷
