数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,山西,2005,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2006,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2007,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2008,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2009,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2010,1395.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2011,1015.0,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2012,931.0,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2013,1592.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2014,1173.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2015,1142.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2016,503.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2017,821.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2018,830.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2019,1473.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2020,1029.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2021,1163.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2022,372.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2023,440.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,山西,2024,313.4,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,山西,2005,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2006,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2007,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2008,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2009,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2010,1330.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2011,1273.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2012,546.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2013,1465.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2014,476.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2015,863.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2016,648.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2017,658.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2018,619.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2019,953.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2020,607.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2021,768.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2022,214.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2023,276.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,山西,2024,143.8,万人次
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2005,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2006,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2007,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2008,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2009,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2010,123.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2011,74.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2012,64.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2013,146.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2014,50.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2015,103.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2016,109.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2017,58.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2018,109.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2019,124.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2020,93.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2021,231.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2022,40.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2023,68.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,山西,2024,21.4,亿元
