数据集名称,指标名称,地区,年份,数值,单位
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2005,1267.61,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2006,1418.8,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2007,1214.32,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2008,1232.56,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2009,1201.66,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2010,1098.88,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2011,1899.96,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2012,1697.51,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2013,1079.66,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2014,1042.7,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2015,998.57,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2016,955.88,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2017,1071.43,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2018,1079.58,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2019,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2020,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2021,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2022,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2023,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广西,2024,,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广西,2005,3932.24,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广西,2006,4283.26,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广西,2007,4358.94,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广西,2008,4424.63,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广西,2009,4398.76,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广西,2010,4227.76,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广西,2011,4213.15,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广西,2012,4420.76,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广西,2013,4510.26,公斤/公顷
