数据集名称,指标名称,地区,年份,数值,单位
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2005,51.12,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2006,53.02,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2007,54.82,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2008,55.4,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2009,56.74,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2010,58.13,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2011,59.75,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2012,61.66,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2013,63.3,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2014,64.65,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2015,64.78,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2016,63.6,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2017,56.83,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2018,52.69,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2019,53.4,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2020,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2021,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2022,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2023,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,广西,2024,,万吨
