数据集名称,指标名称,地区,年份,数值,单位
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2005,41.31,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2006,42.4,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2007,48.2,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2008,52.45,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2009,53.51,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2010,58.29,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2011,61.84,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2012,61.84,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2013,65.73,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2014,67.33,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2015,65.61,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2016,65.85,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2017,66.31,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2018,65.1,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2019,63.5,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2020,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2021,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2022,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2023,,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,湖北,2024,,万吨
