数据集名称,指标名称,地区,年份,数值,单位
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2005,1351.51,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2006,1246.53,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2007,4125.55,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2008,4482.37,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2009,4774.91,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2010,4611.36,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2011,1729.58,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2012,2293.36,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2013,2734.55,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2014,3909.37,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2015,4323.99,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2016,2371.55,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2017,2275.68,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2018,2464.18,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2019,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2020,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2021,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2022,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2023,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,贵州,2024,,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2005,4653.33,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2006,4461.09,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2007,4206.67,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2008,4185.06,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2009,4115.57,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2010,4143.43,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2011,3243.98,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2012,4279.91,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2013,3707.92,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2014,3973.73,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2015,4112.08,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2016,4491.35,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2017,4494.54,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2018,4287.4,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2019,4340.32,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2020,4307.69,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2021,4406.05,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2022,4458.46,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2023,,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,贵州,2024,,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2005,3748.07,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2006,3660.06,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2007,3744.6,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2008,3795.5,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2009,3781.95,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2010,3576.72,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2011,3045.73,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2012,3827.64,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2013,3480.43,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2014,3767.78,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2015,3891.7,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2016,4049.27,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2017,4069.88,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2018,3867.22,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2019,3879.96,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2020,3840.16,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2021,3927.47,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2022,3996.97,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2023,4036.64,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,贵州,2024,4135.53,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2005,2597.21,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2006,2368.83,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2007,3004.63,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2008,3093.45,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2009,3228.83,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2010,3046.4,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2011,2826.59,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2012,3166.97,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2013,3233.0,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2014,3511.84,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2015,3714.21,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2016,3185.49,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2017,3264.0,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2018,3228.22,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2019,3192.95,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2020,3232.53,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,贵州,2021,3188.89,公斤/公顷
