数据集名称,指标名称,地区,年份,数值,单位
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2005,2384.26,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2006,2049.75,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2007,1975.31,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2008,2246.58,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2009,1538.46,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2010,2358.08,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2011,4949.49,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2012,2949.12,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2013,2754.45,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2014,2752.02,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2015,2452.36,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2016,2721.46,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2017,3031.38,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2018,1775.85,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2019,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2020,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2021,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2022,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2023,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,辽宁,2024,,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2005,5738.78,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2006,5824.95,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2007,5880.96,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2008,6169.64,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2009,5125.01,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2010,5562.86,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2011,6435.48,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2012,6474.28,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2013,6896.33,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2014,5382.26,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2015,6065.08,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2016,6587.83,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2017,6721.71,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2018,6292.84,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2019,6965.16,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2020,6630.93,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2021,7164.39,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2022,6976.08,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2023,,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,辽宁,2024,,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2005,5720.18,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2006,5816.06,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2007,5880.96,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2008,6169.64,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2009,5125.01,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2010,5562.86,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2011,6435.48,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2012,6474.28,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2013,6896.33,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2014,5382.26,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2015,6065.08,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2016,6587.83,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2017,6721.71,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2018,6292.84,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2019,6965.16,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2020,6630.93,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2021,7164.39,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2022,6976.08,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2023,7163.55,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,辽宁,2024,6989.13,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2005,3273.44,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2006,4658.36,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2007,5277.83,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2008,5122.09,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2009,4540.49,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2010,5566.25,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2011,6821.52,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2012,5307.69,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2013,5273.06,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2014,6249.96,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2015,5804.22,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2016,4990.13,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2017,5351.89,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2018,4535.63,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2019,3410.33,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2020,4445.54,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2021,4346.31,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2022,4250.49,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2023,,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,辽宁,2024,,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,辽宁,2005,6314.13,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,辽宁,2006,6024.15,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,辽宁,2007,6071.84,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,辽宁,2008,6433.78,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,辽宁,2009,5317.83,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,辽宁,2010,5681.5,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,辽宁,2011,6556.02,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,辽宁,2012,6619.16,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,辽宁,2013,7047.72,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,辽宁,2014,5431.68,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,辽宁,2015,6138.12,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,辽宁,2016,6732.55,公斤/公顷
