数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,重庆,2005,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2006,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2007,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2008,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2009,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2010,574.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2011,816.0,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2012,405.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2013,455.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2014,280.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2015,70.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2016,190.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2017,125.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2018,70.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2019,78.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2020,158.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2021,59.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2022,369.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2023,98.0,千公顷
自然灾害,农作物受灾面积 (千公顷) ,重庆,2024,171.6,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2005,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2006,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2007,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2008,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2009,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2010,1182.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2011,1466.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2012,795.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2013,1085.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2014,649.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2015,189.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2016,371.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2017,252.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2018,148.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2019,145.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2020,401.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2021,140.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2022,372.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2023,169.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,重庆,2024,227.5,万人次
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2005,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2006,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2007,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2008,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2009,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2010,68.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2011,71.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2012,56.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2013,51.1,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2014,98.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2015,22.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2016,47.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2017,24.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2018,18.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2019,19.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2020,167.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2021,29.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2022,48.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2023,45.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,重庆,2024,53.1,亿元
