数据集名称,指标名称,地区,年份,数值,单位
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2005,23644.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2006,24991.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2007,26780.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2008,27612.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2009,34970.92,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2010,36811.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2011,37912.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2012,39076.7,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2013,40847.06,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2014,41478.69,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2015,43068.4,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2016,43716.55,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2017,43953.56,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2018,44146.71,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2019,44779.57,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2020,44724.1,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2021,44293.83,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2022,,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2023,,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,陕西,2024,,吨
