数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,青海,2005,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2006,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2007,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2008,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2009,,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2010,111.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2011,285.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2012,154.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2013,171.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2014,169.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2015,220.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2016,134.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2017,272.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2018,51.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2019,70.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2020,43.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2021,44.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2022,92.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2023,41.0,千公顷
自然灾害,农作物受灾面积 (千公顷) ,青海,2024,74.5,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,青海,2005,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2006,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2007,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2008,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2009,,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2010,261.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2011,235.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2012,172.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2013,167.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2014,129.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2015,189.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2016,124.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2017,207.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2018,72.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2019,86.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2020,48.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2021,49.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2022,85.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2023,56.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,青海,2024,69.2,万人次
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2005,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2006,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2007,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2008,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2009,,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2010,237.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2011,21.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2012,15.1,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2013,13.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2014,9.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2015,12.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2016,32.1,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2017,17.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2018,28.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2019,14.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2020,3.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2021,45.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2022,51.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2023,50.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,青海,2024,34.4,亿元
