数据集名称,指标名称,地区,年份,数值,单位
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,上海,2012,0.26,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,上海,2012,,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,上海,2012,0.01,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,上海,2012,0.03,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,上海,2011,0.26,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,上海,2011,,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,上海,2011,0.01,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,上海,2011,0.01,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,上海,2010,0.28,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,上海,2010,,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,上海,2010,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,上海,2010,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,上海,2009,0.29,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,上海,2009,,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,上海,2009,0.04,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,上海,2009,0.06,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,上海,2008,0.27,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,上海,2008,,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,上海,2008,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,上海,2008,0.06,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,上海,2007,0.3,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,上海,2007,,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,上海,2007,0.04,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,上海,2007,0.07,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,上海,2006,0.33,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,上海,2006,0.0,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,上海,2006,0.03,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,上海,2006,0.07,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,上海,2005,0.43,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,上海,2005,,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,上海,2005,0.04,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,上海,2005,0.09,亩/人
