数据集名称,指标名称,地区,年份,数值,单位
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,云南,2024,4693.99,公斤/公顷
主要农作物单位面积产量,夏收粮食单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,云南,2024,5310.32,公斤/公顷
主要农作物单位面积产量,稻谷单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,早稻单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,中稻和一季晚稻单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,双季晚稻单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,小麦单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,冬小麦单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,春小麦单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,玉米单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,谷子单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,高粱单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,大麦单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,豆类单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,大豆单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,绿豆单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,红小豆单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,马铃薯单位面积产量 (公斤/公顷) ,云南,2024,,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,云南,2023,4652.13,公斤/公顷
主要农作物单位面积产量,夏收粮食单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,云南,2023,5208.79,公斤/公顷
主要农作物单位面积产量,稻谷单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,早稻单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,中稻和一季晚稻单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,双季晚稻单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,小麦单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,冬小麦单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,春小麦单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,玉米单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,谷子单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,高粱单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,大麦单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,豆类单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,大豆单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,绿豆单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,红小豆单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,马铃薯单位面积产量 (公斤/公顷) ,云南,2023,,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,云南,2022,4649.66,公斤/公顷
主要农作物单位面积产量,夏收粮食单位面积产量 (公斤/公顷) ,云南,2022,2689.76,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,云南,2022,5236.55,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,云南,2022,5178.43,公斤/公顷
主要农作物单位面积产量,稻谷单位面积产量 (公斤/公顷) ,云南,2022,6549.56,公斤/公顷
主要农作物单位面积产量,早稻单位面积产量 (公斤/公顷) ,云南,2022,6178.49,公斤/公顷
主要农作物单位面积产量,中稻和一季晚稻单位面积产量 (公斤/公顷) ,云南,2022,6593.92,公斤/公顷
主要农作物单位面积产量,双季晚稻单位面积产量 (公斤/公顷) ,云南,2022,4883.17,公斤/公顷
主要农作物单位面积产量,小麦单位面积产量 (公斤/公顷) ,云南,2022,2230.8,公斤/公顷
主要农作物单位面积产量,冬小麦单位面积产量 (公斤/公顷) ,云南,2022,2230.8,公斤/公顷
主要农作物单位面积产量,春小麦单位面积产量 (公斤/公顷) ,云南,2022,,公斤/公顷
主要农作物单位面积产量,玉米单位面积产量 (公斤/公顷) ,云南,2022,5351.58,公斤/公顷
主要农作物单位面积产量,谷子单位面积产量 (公斤/公顷) ,云南,2022,3026.32,公斤/公顷
主要农作物单位面积产量,高粱单位面积产量 (公斤/公顷) ,云南,2022,3539.72,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,云南,2022,,公斤/公顷
主要农作物单位面积产量,大麦单位面积产量 (公斤/公顷) ,云南,2022,,公斤/公顷
主要农作物单位面积产量,豆类单位面积产量 (公斤/公顷) ,云南,2022,2216.51,公斤/公顷
主要农作物单位面积产量,大豆单位面积产量 (公斤/公顷) ,云南,2022,2004.91,公斤/公顷
主要农作物单位面积产量,绿豆单位面积产量 (公斤/公顷) ,云南,2022,1843.83,公斤/公顷
主要农作物单位面积产量,红小豆单位面积产量 (公斤/公顷) ,云南,2022,2338.63,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,云南,2022,3912.6,公斤/公顷
主要农作物单位面积产量,马铃薯单位面积产量 (公斤/公顷) ,云南,2022,4084.98,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,云南,2021,4605.4,公斤/公顷
主要农作物单位面积产量,夏收粮食单位面积产量 (公斤/公顷) ,云南,2021,2696.16,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,云南,2021,5172.8,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,云南,2021,5135.38,公斤/公顷
主要农作物单位面积产量,稻谷单位面积产量 (公斤/公顷) ,云南,2021,6525.3,公斤/公顷
主要农作物单位面积产量,早稻单位面积产量 (公斤/公顷) ,云南,2021,6119.84,公斤/公顷
主要农作物单位面积产量,中稻和一季晚稻单位面积产量 (公斤/公顷) ,云南,2021,6575.51,公斤/公顷
主要农作物单位面积产量,双季晚稻单位面积产量 (公斤/公顷) ,云南,2021,4928.51,公斤/公顷
主要农作物单位面积产量,小麦单位面积产量 (公斤/公顷) ,云南,2021,2127.03,公斤/公顷
主要农作物单位面积产量,冬小麦单位面积产量 (公斤/公顷) ,云南,2021,2127.03,公斤/公顷
主要农作物单位面积产量,春小麦单位面积产量 (公斤/公顷) ,云南,2021,,公斤/公顷
主要农作物单位面积产量,玉米单位面积产量 (公斤/公顷) ,云南,2021,5281.54,公斤/公顷
主要农作物单位面积产量,谷子单位面积产量 (公斤/公顷) ,云南,2021,2594.32,公斤/公顷
主要农作物单位面积产量,高粱单位面积产量 (公斤/公顷) ,云南,2021,2952.67,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,云南,2021,,公斤/公顷
主要农作物单位面积产量,大麦单位面积产量 (公斤/公顷) ,云南,2021,,公斤/公顷
主要农作物单位面积产量,豆类单位面积产量 (公斤/公顷) ,云南,2021,2350.19,公斤/公顷
主要农作物单位面积产量,大豆单位面积产量 (公斤/公顷) ,云南,2021,2113.16,公斤/公顷
主要农作物单位面积产量,绿豆单位面积产量 (公斤/公顷) ,云南,2021,1917.79,公斤/公顷
主要农作物单位面积产量,红小豆单位面积产量 (公斤/公顷) ,云南,2021,1985.39,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,云南,2021,3590.1,公斤/公顷
主要农作物单位面积产量,马铃薯单位面积产量 (公斤/公顷) ,云南,2021,3721.43,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,云南,2020,4549.25,公斤/公顷
主要农作物单位面积产量,夏收粮食单位面积产量 (公斤/公顷) ,云南,2020,2578.42,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,云南,2020,5138.8,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,云南,2020,5057.42,公斤/公顷
主要农作物单位面积产量,稻谷单位面积产量 (公斤/公顷) ,云南,2020,6409.69,公斤/公顷
主要农作物单位面积产量,早稻单位面积产量 (公斤/公顷) ,云南,2020,5806.86,公斤/公顷
主要农作物单位面积产量,中稻和一季晚稻单位面积产量 (公斤/公顷) ,云南,2020,6495.65,公斤/公顷
主要农作物单位面积产量,双季晚稻单位面积产量 (公斤/公顷) ,云南,2020,4828.77,公斤/公顷
主要农作物单位面积产量,小麦单位面积产量 (公斤/公顷) ,云南,2020,2178.13,公斤/公顷
主要农作物单位面积产量,冬小麦单位面积产量 (公斤/公顷) ,云南,2020,2178.13,公斤/公顷
主要农作物单位面积产量,春小麦单位面积产量 (公斤/公顷) ,云南,2020,,公斤/公顷
主要农作物单位面积产量,玉米单位面积产量 (公斤/公顷) ,云南,2020,5204.01,公斤/公顷
主要农作物单位面积产量,谷子单位面积产量 (公斤/公顷) ,云南,2020,3409.09,公斤/公顷
主要农作物单位面积产量,高粱单位面积产量 (公斤/公顷) ,云南,2020,3000.0,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,云南,2020,,公斤/公顷
主要农作物单位面积产量,大麦单位面积产量 (公斤/公顷) ,云南,2020,,公斤/公顷
主要农作物单位面积产量,豆类单位面积产量 (公斤/公顷) ,云南,2020,2544.99,公斤/公顷
主要农作物单位面积产量,大豆单位面积产量 (公斤/公顷) ,云南,2020,2486.6,公斤/公顷
主要农作物单位面积产量,绿豆单位面积产量 (公斤/公顷) ,云南,2020,1947.37,公斤/公顷
主要农作物单位面积产量,红小豆单位面积产量 (公斤/公顷) ,云南,2020,2020.41,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,云南,2020,3402.18,公斤/公顷
主要农作物单位面积产量,马铃薯单位面积产量 (公斤/公顷) ,云南,2020,3551.44,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,云南,2019,4489.06,公斤/公顷
主要农作物单位面积产量,夏收粮食单位面积产量 (公斤/公顷) ,云南,2019,2500.8,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,云南,2019,5090.57,公斤/公顷
主要农作物单位面积产量,谷物单位面积产量 (公斤/公顷) ,云南,2019,5011.21,公斤/公顷
主要农作物单位面积产量,稻谷单位面积产量 (公斤/公顷) ,云南,2019,6345.81,公斤/公顷
主要农作物单位面积产量,早稻单位面积产量 (公斤/公顷) ,云南,2019,5521.63,公斤/公顷
主要农作物单位面积产量,中稻和一季晚稻单位面积产量 (公斤/公顷) ,云南,2019,6445.77,公斤/公顷
主要农作物单位面积产量,双季晚稻单位面积产量 (公斤/公顷) ,云南,2019,4831.08,公斤/公顷
主要农作物单位面积产量,小麦单位面积产量 (公斤/公顷) ,云南,2019,2186.06,公斤/公顷
主要农作物单位面积产量,冬小麦单位面积产量 (公斤/公顷) ,云南,2019,2186.06,公斤/公顷
主要农作物单位面积产量,春小麦单位面积产量 (公斤/公顷) ,云南,2019,,公斤/公顷
主要农作物单位面积产量,玉米单位面积产量 (公斤/公顷) ,云南,2019,5161.58,公斤/公顷
主要农作物单位面积产量,谷子单位面积产量 (公斤/公顷) ,云南,2019,3476.19,公斤/公顷
主要农作物单位面积产量,高粱单位面积产量 (公斤/公顷) ,云南,2019,2942.86,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,云南,2019,,公斤/公顷
主要农作物单位面积产量,大麦单位面积产量 (公斤/公顷) ,云南,2019,,公斤/公顷
主要农作物单位面积产量,豆类单位面积产量 (公斤/公顷) ,云南,2019,2537.97,公斤/公顷
主要农作物单位面积产量,大豆单位面积产量 (公斤/公顷) ,云南,2019,2483.8,公斤/公顷
主要农作物单位面积产量,绿豆单位面积产量 (公斤/公顷) ,云南,2019,1923.08,公斤/公顷
主要农作物单位面积产量,红小豆单位面积产量 (公斤/公顷) ,云南,2019,2000.0,公斤/公顷
主要农作物单位面积产量,薯类单位面积产量 (公斤/公顷) ,云南,2019,3163.44,公斤/公顷
主要农作物单位面积产量,马铃薯单位面积产量 (公斤/公顷) ,云南,2019,3282.23,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,云南,2018,4456.84,公斤/公顷
主要农作物单位面积产量,夏收粮食单位面积产量 (公斤/公顷) ,云南,2018,2476.61,公斤/公顷
