数据集名称,指标名称,地区,年份,数值,单位
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,云南,2024,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,云南,2024,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,云南,2024,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,云南,2024,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,云南,2024,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,云南,2024,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,云南,2024,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,云南,2024,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,云南,2024,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,云南,2024,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,云南,2024,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,云南,2023,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,云南,2023,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,云南,2023,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,云南,2023,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,云南,2023,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,云南,2023,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,云南,2023,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,云南,2023,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,云南,2023,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,云南,2023,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,云南,2023,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,云南,2022,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,云南,2022,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,云南,2022,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,云南,2022,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,云南,2022,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,云南,2022,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,云南,2022,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,云南,2022,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,云南,2022,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,云南,2022,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,云南,2022,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,云南,2021,,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,云南,2021,,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,云南,2021,,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,云南,2021,,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,云南,2021,,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,云南,2021,,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,云南,2021,,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,云南,2021,,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,云南,2021,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,云南,2021,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,云南,2021,,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,云南,2020,106.7,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,云南,2020,96.6,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,云南,2020,99.2,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,云南,2020,96.6,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,云南,2020,91.2,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,云南,2020,93.4,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,云南,2020,86.8,无
农业生产资料价格分类指数,其他农业生产资料价格指数 (上年=100) ,云南,2020,95.4,无
农业生产资料价格分类指数,农用种子生产资料价格指数 (上年=100) ,云南,2020,,无
农业生产资料价格分类指数,其他农业生产资料 (除种子) 价格指数 (上年=100) ,云南,2020,,无
农业生产资料价格分类指数,农业生产服务价格指数 (上年=100) ,云南,2020,93.9,无
农业生产资料价格分类指数,农业生产资料指数 (上年=100) ,云南,2019,103.9,无
农业生产资料价格分类指数,农用手工工具指数 (上年=100) ,云南,2019,103.7,无
农业生产资料价格分类指数,饲料价格指数 (上年=100) ,云南,2019,102.0,无
农业生产资料价格分类指数,半机械化农具生产资料价格指数 (上年=100) ,云南,2019,99.7,无
农业生产资料价格分类指数,机械化农具生产资料价格指数 (上年=100) ,云南,2019,101.6,无
农业生产资料价格分类指数,化学肥料生产资料价格指数 (上年=100) ,云南,2019,101.7,无
农业生产资料价格分类指数,农用机油生产资料价格指数 (上年=100) ,云南,2019,96.9,无
