数据集名称,指标名称,地区,年份,数值,单位
农产品生产价格指数,农产品生产价格指数 (上年=100) ,云南,2024,97.8,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,云南,2024,95.9,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,云南,2024,,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,云南,2024,,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,云南,2024,,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,云南,2024,,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,云南,2024,,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,云南,2024,,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,云南,2024,,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,云南,2024,,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,云南,2024,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,云南,2024,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,云南,2024,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,云南,2024,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,云南,2023,98.8,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,云南,2023,104.7,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,云南,2023,,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,云南,2023,,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,云南,2023,,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,云南,2023,,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,云南,2023,,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,云南,2023,,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,云南,2023,,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,云南,2023,,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,云南,2023,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,云南,2023,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,云南,2023,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,云南,2023,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,云南,2022,96.7,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,云南,2022,101.5,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,云南,2022,,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,云南,2022,,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,云南,2022,,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,云南,2022,,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,云南,2022,,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,云南,2022,,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,云南,2022,,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,云南,2022,,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,云南,2022,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,云南,2022,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,云南,2022,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,云南,2022,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,云南,2021,96.8,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,云南,2021,105.1,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,云南,2021,,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,云南,2021,,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,云南,2021,,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,云南,2021,,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,云南,2021,,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,云南,2021,,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,云南,2021,,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,云南,2021,,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,云南,2021,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,云南,2021,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,云南,2021,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,云南,2021,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,云南,2020,120.2,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,云南,2020,100.3,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,云南,2020,,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,云南,2020,,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,云南,2020,,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,云南,2020,,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,云南,2020,,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,云南,2020,,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,云南,2020,,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,云南,2020,,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,云南,2020,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,云南,2020,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,云南,2020,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,云南,2020,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,云南,2019,109.6,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,云南,2019,101.0,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,云南,2019,103.8,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,云南,2019,105.5,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,云南,2019,103.9,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,云南,2019,102.8,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,云南,2019,99.9,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,云南,2019,106.2,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,云南,2019,123.6,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,云南,2019,101.3,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,云南,2019,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,云南,2019,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,云南,2019,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,云南,2019,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,云南,2018,96.9,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,云南,2018,100.7,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,云南,2018,,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,云南,2018,,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,云南,2018,,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,云南,2018,,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,云南,2018,,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,云南,2018,,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,云南,2018,,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,云南,2018,,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,云南,2018,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,云南,2018,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,云南,2018,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,云南,2018,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,云南,2017,98.7,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,云南,2017,102.6,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,云南,2017,,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,云南,2017,,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,云南,2017,,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,云南,2017,,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,云南,2017,,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,云南,2017,,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,云南,2017,,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,云南,2017,,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,云南,2017,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,云南,2017,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,云南,2017,,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,云南,2017,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,云南,2016,103.9,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,云南,2016,101.1,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,云南,2016,96.1,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,云南,2016,102.9,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,云南,2016,99.7,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,云南,2016,87.5,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,云南,2016,102.6,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,云南,2016,100.6,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,云南,2016,103.8,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,云南,2016,97.4,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,云南,2016,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,云南,2016,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,云南,2016,102.5,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,云南,2016,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,云南,2015,101.3,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,云南,2015,100.5,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,云南,2015,99.7,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,云南,2015,93.9,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,云南,2015,103.1,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,云南,2015,98.6,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,云南,2015,99.8,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,云南,2015,96.4,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,云南,2015,105.3,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,云南,2015,84.9,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,云南,2015,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,云南,2015,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,云南,2015,98.0,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,云南,2015,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,云南,2014,100.6,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,云南,2014,103.1,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,云南,2014,96.0,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,云南,2014,95.5,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,云南,2014,96.9,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,云南,2014,95.0,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,云南,2014,103.3,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,云南,2014,100.8,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,云南,2014,101.3,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,云南,2014,91.0,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,云南,2014,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,云南,2014,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,云南,2014,101.5,无
农产品生产价格指数,淡水捕捞产品生产价格指数 (上年=100) ,云南,2014,,无
农产品生产价格指数,农产品生产价格指数 (上年=100) ,云南,2013,104.9,无
农产品生产价格指数,种植业生产价格指数 (上年价格=100) ,云南,2013,107.6,无
农产品生产价格指数,谷物生产价格指数 (上年价格=100) ,云南,2013,107.1,无
农产品生产价格指数,小麦生产价格指数 (上年价格=100) ,云南,2013,107.0,无
农产品生产价格指数,稻谷生产价格指数 (上年价格=100) ,云南,2013,104.9,无
农产品生产价格指数,玉米生产价格指数 (上年价格=100) ,云南,2013,109.3,无
农产品生产价格指数,豆类生产价格指数 (上年价格=100) ,云南,2013,110.8,无
农产品生产价格指数,大豆生产价格指数 (上年价格=100) ,云南,2013,111.2,无
农产品生产价格指数,薯类生产价格指数 (上年价格=100) ,云南,2013,117.8,无
农产品生产价格指数,奶类生产价格指数 (上年价格=100) ,云南,2013,126.9,无
农产品生产价格指数,海水养殖产品生产价格指数 (上年=100) ,云南,2013,,无
农产品生产价格指数,海水捕捞产品生产价格指数 (上年=100) ,云南,2013,,无
农产品生产价格指数,淡水养殖产品生产价格指数 (上年=100) ,云南,2013,98.2,无
