数据集名称,指标名称,地区,年份,数值,单位
乡村户数和乡村人口,乡村户数 (万户) ,内蒙古,2012,391.91,万户
乡村户数和乡村人口,乡村人口 (万人) ,内蒙古,2012,1349.84,万人
乡村户数和乡村人口,乡村户数 (万户) ,内蒙古,2011,380.07,万户
乡村户数和乡村人口,乡村人口 (万人) ,内蒙古,2011,1327.74,万人
乡村户数和乡村人口,乡村户数 (万户) ,内蒙古,2010,364.03,万户
乡村户数和乡村人口,乡村人口 (万人) ,内蒙古,2010,1309.43,万人
乡村户数和乡村人口,乡村户数 (万户) ,内蒙古,2009,357.82,万户
乡村户数和乡村人口,乡村人口 (万人) ,内蒙古,2009,1310.21,万人
乡村户数和乡村人口,乡村户数 (万户) ,内蒙古,2008,353.28,万户
乡村户数和乡村人口,乡村人口 (万人) ,内蒙古,2008,1301.46,万人
乡村户数和乡村人口,乡村户数 (万户) ,内蒙古,2007,357.05,万户
乡村户数和乡村人口,乡村人口 (万人) ,内蒙古,2007,1319.85,万人
乡村户数和乡村人口,乡村户数 (万户) ,内蒙古,2006,354.24,万户
乡村户数和乡村人口,乡村人口 (万人) ,内蒙古,2006,1331.89,万人
乡村户数和乡村人口,乡村户数 (万户) ,内蒙古,2005,351.42,万户
乡村户数和乡村人口,乡村人口 (万人) ,内蒙古,2005,1343.93,万人
