数据集名称,指标名称,地区,年份,数值,单位
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,内蒙古,2024,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,内蒙古,2024,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,内蒙古,2024,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,内蒙古,2024,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,内蒙古,2024,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,内蒙古,2024,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,内蒙古,2023,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,内蒙古,2023,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,内蒙古,2023,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,内蒙古,2023,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,内蒙古,2023,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,内蒙古,2023,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,内蒙古,2022,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,内蒙古,2022,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,内蒙古,2022,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,内蒙古,2022,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,内蒙古,2022,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,内蒙古,2022,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,内蒙古,2021,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,内蒙古,2021,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,内蒙古,2021,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,内蒙古,2021,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,内蒙古,2021,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,内蒙古,2021,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,内蒙古,2020,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,内蒙古,2020,94770.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,内蒙古,2020,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,内蒙古,2020,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,内蒙古,2020,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,内蒙古,2020,20658.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,内蒙古,2019,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,内蒙古,2019,95020.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,内蒙古,2019,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,内蒙古,2019,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,内蒙古,2019,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,内蒙古,2019,21713.75,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,内蒙古,2018,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,内蒙古,2018,95020.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,内蒙古,2018,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,内蒙古,2018,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,内蒙古,2018,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,内蒙古,2018,19325.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,内蒙古,2017,500.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,内蒙古,2017,95245.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,内蒙古,2017,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,内蒙古,2017,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,内蒙古,2017,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,内蒙古,2017,19632.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,内蒙古,2016,500.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,内蒙古,2016,95245.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,内蒙古,2016,100.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,内蒙古,2016,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,内蒙古,2016,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,内蒙古,2016,19731.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,内蒙古,2015,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,内蒙古,2015,95145.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,内蒙古,2015,,千瓦
