数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2024,1714.24,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2023,1650.13,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2022,1624.93,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2021,1599.12,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2020,1521.01,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2019,1510.25,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2018,1463.76,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2017,1289.18,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2016,1297.27,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2015,1312.83,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2014,1244.2,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2013,1231.15,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2012,1102.11,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2011,1038.92,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2010,951.03,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2009,868.59,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2008,862.28,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2007,728.49,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2006,755.46,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,内蒙古,2005,698.6,公斤
