数据集名称,指标名称,地区,年份,数值,单位
乡村从业人员,乡村从业人员 (万人) ,北京,2012,341.67,万人
乡村从业人员,乡村男性从业人员 (万人) ,北京,2012,184.26,万人
乡村从业人员,乡村女性从业人员 (万人) ,北京,2012,157.41,万人
乡村从业人员,乡村从业人员 (万人) ,北京,2011,338.26,万人
乡村从业人员,乡村男性从业人员 (万人) ,北京,2011,182.55,万人
乡村从业人员,乡村女性从业人员 (万人) ,北京,2011,155.71,万人
乡村从业人员,乡村从业人员 (万人) ,北京,2010,347.78,万人
乡村从业人员,乡村男性从业人员 (万人) ,北京,2010,186.36,万人
乡村从业人员,乡村女性从业人员 (万人) ,北京,2010,161.42,万人
乡村从业人员,乡村从业人员 (万人) ,北京,2009,338.68,万人
乡村从业人员,乡村男性从业人员 (万人) ,北京,2009,181.81,万人
乡村从业人员,乡村女性从业人员 (万人) ,北京,2009,156.87,万人
乡村从业人员,乡村从业人员 (万人) ,北京,2008,321.3,万人
乡村从业人员,乡村男性从业人员 (万人) ,北京,2008,172.6,万人
乡村从业人员,乡村女性从业人员 (万人) ,北京,2008,148.7,万人
乡村从业人员,乡村从业人员 (万人) ,北京,2007,313.35,万人
乡村从业人员,乡村男性从业人员 (万人) ,北京,2007,170.31,万人
乡村从业人员,乡村女性从业人员 (万人) ,北京,2007,143.04,万人
乡村从业人员,乡村从业人员 (万人) ,北京,2006,316.87,万人
乡村从业人员,乡村男性从业人员 (万人) ,北京,2006,183.65,万人
乡村从业人员,乡村女性从业人员 (万人) ,北京,2006,133.22,万人
乡村从业人员,乡村从业人员 (万人) ,北京,2005,184.04,万人
乡村从业人员,乡村男性从业人员 (万人) ,北京,2005,95.82,万人
乡村从业人员,乡村女性从业人员 (万人) ,北京,2005,88.22,万人
