数据集名称,指标名称,地区,年份,数值,单位
乡村从业人员,乡村从业人员 (万人) ,吉林,2012,751.41,万人
乡村从业人员,乡村男性从业人员 (万人) ,吉林,2012,417.91,万人
乡村从业人员,乡村女性从业人员 (万人) ,吉林,2012,333.5,万人
乡村从业人员,乡村从业人员 (万人) ,吉林,2011,748.5,万人
乡村从业人员,乡村男性从业人员 (万人) ,吉林,2011,415.75,万人
乡村从业人员,乡村女性从业人员 (万人) ,吉林,2011,332.75,万人
乡村从业人员,乡村从业人员 (万人) ,吉林,2010,733.78,万人
乡村从业人员,乡村男性从业人员 (万人) ,吉林,2010,414.59,万人
乡村从业人员,乡村女性从业人员 (万人) ,吉林,2010,319.19,万人
乡村从业人员,乡村从业人员 (万人) ,吉林,2009,723.15,万人
乡村从业人员,乡村男性从业人员 (万人) ,吉林,2009,408.11,万人
乡村从业人员,乡村女性从业人员 (万人) ,吉林,2009,315.04,万人
乡村从业人员,乡村从业人员 (万人) ,吉林,2008,711.52,万人
乡村从业人员,乡村男性从业人员 (万人) ,吉林,2008,402.85,万人
乡村从业人员,乡村女性从业人员 (万人) ,吉林,2008,308.67,万人
乡村从业人员,乡村从业人员 (万人) ,吉林,2007,700.86,万人
乡村从业人员,乡村男性从业人员 (万人) ,吉林,2007,397.36,万人
乡村从业人员,乡村女性从业人员 (万人) ,吉林,2007,303.5,万人
乡村从业人员,乡村从业人员 (万人) ,吉林,2006,691.9,万人
乡村从业人员,乡村男性从业人员 (万人) ,吉林,2006,393.43,万人
乡村从业人员,乡村女性从业人员 (万人) ,吉林,2006,298.47,万人
乡村从业人员,乡村从业人员 (万人) ,吉林,2005,685.16,万人
乡村从业人员,乡村男性从业人员 (万人) ,吉林,2005,391.06,万人
乡村从业人员,乡村女性从业人员 (万人) ,吉林,2005,294.1,万人
