数据集名称,指标名称,地区,年份,数值,单位
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,吉林,2024,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,吉林,2024,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,吉林,2024,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,吉林,2024,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,吉林,2024,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,吉林,2024,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,吉林,2023,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,吉林,2023,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,吉林,2023,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,吉林,2023,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,吉林,2023,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,吉林,2023,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,吉林,2022,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,吉林,2022,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,吉林,2022,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,吉林,2022,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,吉林,2022,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,吉林,2022,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,吉林,2021,18950.4,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,吉林,2021,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,吉林,2021,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,吉林,2021,215925.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,吉林,2021,9445.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,吉林,2021,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,吉林,2020,21685.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,吉林,2020,620475.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,吉林,2020,6000.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,吉林,2020,216480.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,吉林,2020,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,吉林,2020,191139.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,吉林,2019,13305.93,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,吉林,2019,614675.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,吉林,2019,11265.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,吉林,2019,182480.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,吉林,2019,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,吉林,2019,146308.52,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,吉林,2018,22163.34,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,吉林,2018,603410.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,吉林,2018,26270.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,吉林,2018,191740.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,吉林,2018,4945.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,吉林,2018,179867.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,吉林,2017,41673.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,吉林,2017,588740.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,吉林,2017,2375.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,吉林,2017,218265.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,吉林,2017,6000.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,吉林,2017,160373.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,吉林,2016,47445.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,吉林,2016,586365.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,吉林,2016,5080.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,吉林,2016,212265.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,吉林,2016,6650.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,吉林,2016,188684.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,吉林,2015,60326.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,吉林,2015,581285.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,吉林,2015,9005.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,吉林,2015,211840.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,吉林,2015,16630.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,吉林,2015,131114.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,吉林,2014,68833.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,吉林,2014,572280.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,吉林,2014,57860.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,吉林,2014,202290.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,吉林,2014,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,吉林,2014,140707.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,吉林,2013,47633.02,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,吉林,2013,514520.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,吉林,2013,16020.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,吉林,2013,259170.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,吉林,2013,19865.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,吉林,2013,175052.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,吉林,2012,47940.12,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,吉林,2012,498565.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,吉林,2012,46500.0,千瓦
