数据集名称,指标名称,地区,年份,数值,单位
乡村从业人员,乡村从业人员 (万人) ,四川,2012,3948.27,万人
乡村从业人员,乡村男性从业人员 (万人) ,四川,2012,2098.59,万人
乡村从业人员,乡村女性从业人员 (万人) ,四川,2012,1849.68,万人
乡村从业人员,乡村从业人员 (万人) ,四川,2011,3947.71,万人
乡村从业人员,乡村男性从业人员 (万人) ,四川,2011,2098.18,万人
乡村从业人员,乡村女性从业人员 (万人) ,四川,2011,1849.54,万人
乡村从业人员,乡村从业人员 (万人) ,四川,2010,3968.12,万人
乡村从业人员,乡村男性从业人员 (万人) ,四川,2010,2109.58,万人
乡村从业人员,乡村女性从业人员 (万人) ,四川,2010,1858.55,万人
乡村从业人员,乡村从业人员 (万人) ,四川,2009,3936.68,万人
乡村从业人员,乡村男性从业人员 (万人) ,四川,2009,2093.83,万人
乡村从业人员,乡村女性从业人员 (万人) ,四川,2009,1842.85,万人
乡村从业人员,乡村从业人员 (万人) ,四川,2008,3910.77,万人
乡村从业人员,乡村男性从业人员 (万人) ,四川,2008,2080.32,万人
乡村从业人员,乡村女性从业人员 (万人) ,四川,2008,1830.45,万人
乡村从业人员,乡村从业人员 (万人) ,四川,2007,3878.96,万人
乡村从业人员,乡村男性从业人员 (万人) ,四川,2007,2060.44,万人
乡村从业人员,乡村女性从业人员 (万人) ,四川,2007,1818.52,万人
乡村从业人员,乡村从业人员 (万人) ,四川,2006,3847.45,万人
乡村从业人员,乡村男性从业人员 (万人) ,四川,2006,2045.51,万人
乡村从业人员,乡村女性从业人员 (万人) ,四川,2006,1801.94,万人
乡村从业人员,乡村从业人员 (万人) ,四川,2005,3801.46,万人
乡村从业人员,乡村男性从业人员 (万人) ,四川,2005,2018.4,万人
乡村从业人员,乡村女性从业人员 (万人) ,四川,2005,1783.06,万人
