数据集名称,指标名称,地区,年份,数值,单位
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,四川,2012,1.14,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,四川,2012,0.44,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,四川,2012,0.07,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,四川,2012,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,四川,2011,1.15,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,四川,2011,0.46,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,四川,2011,0.25,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,四川,2011,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,四川,2010,1.08,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,四川,2010,0.26,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,四川,2010,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,四川,2010,0.03,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,四川,2009,1.02,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,四川,2009,0.28,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,四川,2009,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,四川,2009,0.03,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,四川,2008,1.03,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,四川,2008,0.27,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,四川,2008,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,四川,2008,0.03,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,四川,2007,1.03,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,四川,2007,0.27,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,四川,2007,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,四川,2007,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,四川,2006,0.98,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,四川,2006,0.27,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,四川,2006,0.06,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,四川,2006,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,四川,2005,0.96,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,四川,2005,0.23,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,四川,2005,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,四川,2005,0.02,亩/人
