数据集名称,指标名称,地区,年份,数值,单位
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,天津,2024,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,天津,2024,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,天津,2024,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,天津,2024,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,天津,2024,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,天津,2024,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,天津,2023,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,天津,2023,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,天津,2023,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,天津,2023,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,天津,2023,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,天津,2023,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,天津,2022,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,天津,2022,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,天津,2022,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,天津,2022,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,天津,2022,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,天津,2022,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,天津,2021,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,天津,2021,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,天津,2021,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,天津,2021,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,天津,2021,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,天津,2021,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,天津,2020,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,天津,2020,5800.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,天津,2020,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,天津,2020,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,天津,2020,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,天津,2020,1185.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,天津,2019,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,天津,2019,5800.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,天津,2019,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,天津,2019,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,天津,2019,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,天津,2019,1185.41,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,天津,2018,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,天津,2018,5800.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,天津,2018,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,天津,2018,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,天津,2018,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,天津,2018,1469.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,天津,2017,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,天津,2017,5800.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,天津,2017,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,天津,2017,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,天津,2017,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,天津,2017,333.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,天津,2016,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,天津,2016,5800.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,天津,2016,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,天津,2016,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,天津,2016,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,天津,2016,1556.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,天津,2015,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,天津,2015,5800.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,天津,2015,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,天津,2015,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,天津,2015,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,天津,2015,1556.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,天津,2014,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,天津,2014,5800.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,天津,2014,3300.0,千瓦
