数据集名称,指标名称,地区,年份,数值,单位
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2024,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2023,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2022,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2021,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2020,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2019,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2018,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2017,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2016,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2015,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2014,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2013,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2012,2223.51,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2011,2201.32,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2010,2136.28,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2009,2056.72,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2008,1943.49,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2007,1895.71,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2006,1798.31,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,天津,2005,1717.78,公斤/人
