数据集名称,指标名称,地区,年份,数值,单位
水利设施和除涝面积,水库数 (座) ,天津,2024,21.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,天津,2024,25.2,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,天津,2024,377.68,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,天津,2024,105.53,千公顷
水利设施和除涝面积,水库数 (座) ,天津,2023,21.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,天津,2023,25.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,天津,2023,362.11,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,天津,2023,105.03,千公顷
水利设施和除涝面积,水库数 (座) ,天津,2022,21.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,天津,2022,25.3,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,天津,2022,362.11,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,天津,2022,104.5,千公顷
水利设施和除涝面积,水库数 (座) ,天津,2021,23.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,天津,2021,25.3,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,天津,2021,362.15,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,天津,2021,103.96,千公顷
水利设施和除涝面积,水库数 (座) ,天津,2020,26.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,天津,2020,26.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,天津,2020,364.58,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,天津,2020,101.84,千公顷
水利设施和除涝面积,水库数 (座) ,天津,2019,28.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,天津,2019,26.42,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,天津,2019,364.58,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,天津,2019,100.62,千公顷
水利设施和除涝面积,水库数 (座) ,天津,2018,27.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,天津,2018,26.22,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,天津,2018,364.58,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,天津,2018,100.01,千公顷
水利设施和除涝面积,水库数 (座) ,天津,2017,28.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,天津,2017,26.46,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,天津,2017,364.58,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,天津,2017,99.25,千公顷
水利设施和除涝面积,水库数 (座) ,天津,2016,28.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,天津,2016,26.46,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,天津,2016,369.32,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,天津,2016,98.84,千公顷
水利设施和除涝面积,水库数 (座) ,天津,2015,28.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,天津,2015,26.46,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,天津,2015,369.32,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,天津,2015,97.3,千公顷
水利设施和除涝面积,水库数 (座) ,天津,2014,28.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,天津,2014,27.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,天津,2014,369.32,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,天津,2014,94.9,千公顷
水利设施和除涝面积,水库数 (座) ,天津,2013,28.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,天津,2013,26.81,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,天津,2013,369.32,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,天津,2013,88.5,千公顷
水利设施和除涝面积,水库数 (座) ,天津,2012,28.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,天津,2012,26.46,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,天津,2012,376.69,千公顷
