数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,天津,2024,1.9,千公顷
自然灾害,农作物绝收面积 (千公顷) ,天津,2024,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,天津,2024,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,天津,2024,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,天津,2024,1.5,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,天津,2024,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,天津,2024,0.4,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,天津,2024,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,天津,2024,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,天津,2024,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,天津,2024,2.1,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,天津,2024,,人
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2024,4.2,亿元
自然灾害,农作物受灾面积 (千公顷) ,天津,2023,26.3,千公顷
自然灾害,农作物绝收面积 (千公顷) ,天津,2023,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,天津,2023,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,天津,2023,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,天津,2023,26.2,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,天津,2023,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,天津,2023,,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,天津,2023,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,天津,2023,0.0,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,天津,2023,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,天津,2023,13.2,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,天津,2023,,人
自然灾害,自然灾害直接经济损失 (亿元) ,天津,2023,52.3,亿元
自然灾害,农作物受灾面积 (千公顷) ,天津,2022,4.7,千公顷
自然灾害,农作物绝收面积 (千公顷) ,天津,2022,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,天津,2022,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,天津,2022,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,天津,2022,,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,天津,2022,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,天津,2022,4.7,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,天津,2022,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,天津,2022,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,天津,2022,,千公顷
