数据集名称,指标名称,地区,年份,数值,单位
乡村户数和乡村人口,乡村户数 (万户) ,宁夏,2012,105.9,万户
乡村户数和乡村人口,乡村人口 (万人) ,宁夏,2012,411.51,万人
乡村户数和乡村人口,乡村户数 (万户) ,宁夏,2011,104.27,万户
乡村户数和乡村人口,乡村人口 (万人) ,宁夏,2011,412.74,万人
乡村户数和乡村人口,乡村户数 (万户) ,宁夏,2010,103.26,万户
乡村户数和乡村人口,乡村人口 (万人) ,宁夏,2010,417.64,万人
乡村户数和乡村人口,乡村户数 (万户) ,宁夏,2009,102.06,万户
乡村户数和乡村人口,乡村人口 (万人) ,宁夏,2009,420.68,万人
乡村户数和乡村人口,乡村户数 (万户) ,宁夏,2008,97.49,万户
乡村户数和乡村人口,乡村人口 (万人) ,宁夏,2008,410.85,万人
乡村户数和乡村人口,乡村户数 (万户) ,宁夏,2007,99.45,万户
乡村户数和乡村人口,乡村人口 (万人) ,宁夏,2007,419.89,万人
乡村户数和乡村人口,乡村户数 (万户) ,宁夏,2006,97.43,万户
乡村户数和乡村人口,乡村人口 (万人) ,宁夏,2006,414.94,万人
乡村户数和乡村人口,乡村户数 (万户) ,宁夏,2005,93.64,万户
乡村户数和乡村人口,乡村人口 (万人) ,宁夏,2005,414.96,万人
