数据集名称,指标名称,地区,年份,数值,单位
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,宁夏,2012,3.69,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,宁夏,2012,0.32,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,宁夏,2012,0.07,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,宁夏,2012,,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,宁夏,2011,3.47,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,宁夏,2011,0.33,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,宁夏,2011,0.07,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,宁夏,2011,,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,宁夏,2010,4.75,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,宁夏,2010,0.14,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,宁夏,2010,0.06,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,宁夏,2010,,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,宁夏,2009,4.35,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,宁夏,2009,,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,宁夏,2009,0.08,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,宁夏,2009,0.01,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,宁夏,2008,4.53,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,宁夏,2008,0.14,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,宁夏,2008,0.06,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,宁夏,2008,0.04,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,宁夏,2007,4.49,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,宁夏,2007,0.14,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,宁夏,2007,0.06,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,宁夏,2007,0.04,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,宁夏,2006,4.27,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,宁夏,2006,0.0,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,宁夏,2006,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,宁夏,2006,0.04,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,宁夏,2005,4.13,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,宁夏,2005,,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,宁夏,2005,0.05,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,宁夏,2005,0.03,亩/人
