数据集名称,指标名称,地区,年份,数值,单位
水利设施和除涝面积,水库数 (座) ,宁夏,2024,328.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,宁夏,2024,26.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,宁夏,2024,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,宁夏,2024,2857.43,千公顷
水利设施和除涝面积,水库数 (座) ,宁夏,2023,328.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,宁夏,2023,26.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,宁夏,2023,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,宁夏,2023,2762.85,千公顷
水利设施和除涝面积,水库数 (座) ,宁夏,2022,329.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,宁夏,2022,26.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,宁夏,2022,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,宁夏,2022,2666.45,千公顷
水利设施和除涝面积,水库数 (座) ,宁夏,2021,331.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,宁夏,2021,26.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,宁夏,2021,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,宁夏,2021,2567.89,千公顷
水利设施和除涝面积,水库数 (座) ,宁夏,2020,336.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,宁夏,2020,29.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,宁夏,2020,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,宁夏,2020,2471.53,千公顷
水利设施和除涝面积,水库数 (座) ,宁夏,2019,327.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,宁夏,2019,27.84,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,宁夏,2019,,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,宁夏,2019,2388.1,千公顷
水利设施和除涝面积,水库数 (座) ,宁夏,2018,327.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,宁夏,2018,27.84,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,宁夏,2018,0.0,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,宁夏,2018,2301.07,千公顷
水利设施和除涝面积,水库数 (座) ,宁夏,2017,322.0,座
