数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2024,31.5,千公顷
自然灾害,农作物绝收面积 (千公顷) ,宁夏,2024,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,宁夏,2024,3.4,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,宁夏,2024,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,宁夏,2024,13.5,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,宁夏,2024,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,宁夏,2024,14.6,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,宁夏,2024,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,宁夏,2024,0.0,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,宁夏,2024,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2024,13.8,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,宁夏,2024,8.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2024,7.1,亿元
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2023,163.6,千公顷
自然灾害,农作物绝收面积 (千公顷) ,宁夏,2023,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,宁夏,2023,37.9,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,宁夏,2023,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,宁夏,2023,,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,宁夏,2023,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,宁夏,2023,40.7,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,宁夏,2023,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,宁夏,2023,84.5,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,宁夏,2023,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2023,50.3,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,宁夏,2023,,人
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2023,11.8,亿元
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2022,68.6,千公顷
自然灾害,农作物绝收面积 (千公顷) ,宁夏,2022,7.4,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,宁夏,2022,26.1,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,宁夏,2022,1.1,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,宁夏,2022,17.8,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,宁夏,2022,0.5,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,宁夏,2022,20.1,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,宁夏,2022,5.2,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,宁夏,2022,4.6,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,宁夏,2022,0.7,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2022,28.6,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,宁夏,2022,,人
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2022,6.6,亿元
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2021,375.8,千公顷
自然灾害,农作物绝收面积 (千公顷) ,宁夏,2021,76.7,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,宁夏,2021,352.0,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,宁夏,2021,73.7,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,宁夏,2021,5.8,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,宁夏,2021,0.1,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,宁夏,2021,14.5,千公顷
