数据集名称,指标名称,地区,年份,数值,单位
乡村从业人员,乡村从业人员 (万人) ,安徽,2012,3073.58,万人
乡村从业人员,乡村男性从业人员 (万人) ,安徽,2012,1657.91,万人
乡村从业人员,乡村女性从业人员 (万人) ,安徽,2012,1415.67,万人
乡村从业人员,乡村从业人员 (万人) ,安徽,2011,3085.09,万人
乡村从业人员,乡村男性从业人员 (万人) ,安徽,2011,1656.73,万人
乡村从业人员,乡村女性从业人员 (万人) ,安徽,2011,1428.37,万人
乡村从业人员,乡村从业人员 (万人) ,安徽,2010,3075.87,万人
乡村从业人员,乡村男性从业人员 (万人) ,安徽,2010,1658.61,万人
乡村从业人员,乡村女性从业人员 (万人) ,安徽,2010,1417.26,万人
乡村从业人员,乡村从业人员 (万人) ,安徽,2009,3052.55,万人
乡村从业人员,乡村男性从业人员 (万人) ,安徽,2009,1643.33,万人
乡村从业人员,乡村女性从业人员 (万人) ,安徽,2009,1409.22,万人
乡村从业人员,乡村从业人员 (万人) ,安徽,2008,3014.2,万人
乡村从业人员,乡村男性从业人员 (万人) ,安徽,2008,1619.23,万人
乡村从业人员,乡村女性从业人员 (万人) ,安徽,2008,1394.97,万人
乡村从业人员,乡村从业人员 (万人) ,安徽,2007,2997.93,万人
乡村从业人员,乡村男性从业人员 (万人) ,安徽,2007,1608.87,万人
乡村从业人员,乡村女性从业人员 (万人) ,安徽,2007,1389.06,万人
乡村从业人员,乡村从业人员 (万人) ,安徽,2006,2985.13,万人
乡村从业人员,乡村男性从业人员 (万人) ,安徽,2006,1603.22,万人
乡村从业人员,乡村女性从业人员 (万人) ,安徽,2006,1381.91,万人
乡村从业人员,乡村从业人员 (万人) ,安徽,2005,2939.21,万人
乡村从业人员,乡村男性从业人员 (万人) ,安徽,2005,1574.17,万人
乡村从业人员,乡村女性从业人员 (万人) ,安徽,2005,1365.04,万人
