数据集名称,指标名称,地区,年份,数值,单位
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2024,2949.72,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2024,103.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2023,2906.33,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2023,102.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2022,2937.04,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2022,102.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2021,2802.93,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2021,103.4,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2020,2525.42,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2020,102.3,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2019,2365.39,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2019,103.4,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2018,2253.66,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2018,102.1,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2017,2241.42,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2017,104.4,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2016,2137.03,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2016,102.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2015,2080.09,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2015,104.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2014,2027.09,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2014,105.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2013,1916.19,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2013,103.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2012,1786.46,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2012,105.8,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2011,1640.3,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2011,103.9,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2010,1477.3,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2010,103.2,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2009,1246.98,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2009,104.0,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2008,1145.82,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2008,105.5,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2007,1008.19,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2007,103.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2006,907.53,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2006,108.7,无
农林牧渔业总产值及指数,农业总产值 (亿元) ,安徽,2005,818.48,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,安徽,2005,97.9,无
