数据集名称,指标名称,地区,年份,数值,单位
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2024,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2023,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2022,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2021,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2020,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2019,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2018,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2017,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2016,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2015,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2014,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2013,,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2012,2223.2,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2011,2080.03,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2010,1995.2,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2009,1943.66,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2008,1870.58,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2007,1716.47,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2006,1627.01,公斤/人
平均每一农业劳动力生产的主要农产品,劳均粮食产量 (公斤/人) ,安徽,2005,1462.99,公斤/人
