数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,山东,2024,12260.75,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,山东,2024,601532.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,山东,2024,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,山东,2024,1770177.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,山东,2024,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,山东,2024,678169.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,山东,2024,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,山东,2024,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,山东,2024,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,山东,2024,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,山东,2024,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,山东,2024,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,山东,2024,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,山东,2024,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,山东,2023,11988.66,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,山东,2023,574439.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,山东,2023,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,山东,2023,1880085.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,山东,2023,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,山东,2023,652493.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,山东,2023,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,山东,2023,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,山东,2023,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,山东,2023,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,山东,2023,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,山东,2023,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,山东,2023,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,山东,2023,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,山东,2022,11530.49,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,山东,2022,541889.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,山东,2022,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,山东,2022,1921592.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,山东,2022,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,山东,2022,620405.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,山东,2022,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,山东,2022,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,山东,2022,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,山东,2022,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,山东,2022,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,山东,2022,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,山东,2022,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,山东,2022,,台
