数据集名称,指标名称,地区,年份,数值,单位
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2024,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2023,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2022,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2021,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2020,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2019,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2018,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2017,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2016,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2015,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2014,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2013,,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2012,632.95,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2011,547.88,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2010,563.16,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2009,568.82,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2008,535.16,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2007,461.53,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2006,478.06,公斤
农村居民家庭平均每人出售主要农产品,农村居民人均粮食出售量 (公斤) ,山东,2005,424.47,公斤
