数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,山东,2024,121.5,千公顷
自然灾害,农作物绝收面积 (千公顷) ,山东,2024,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,山东,2024,58.3,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,山东,2024,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,山东,2024,44.1,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,山东,2024,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,山东,2024,18.8,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,山东,2024,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,山东,2024,0.2,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,山东,2024,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,山东,2024,106.3,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,山东,2024,11.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,山东,2024,21.1,亿元
自然灾害,农作物受灾面积 (千公顷) ,山东,2023,17.4,千公顷
自然灾害,农作物绝收面积 (千公顷) ,山东,2023,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,山东,2023,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,山东,2023,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,山东,2023,10.7,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,山东,2023,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,山东,2023,6.6,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,山东,2023,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,山东,2023,0.1,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,山东,2023,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,山东,2023,15.3,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,山东,2023,,人
自然灾害,自然灾害直接经济损失 (亿元) ,山东,2023,4.8,亿元
自然灾害,农作物受灾面积 (千公顷) ,山东,2022,45.5,千公顷
自然灾害,农作物绝收面积 (千公顷) ,山东,2022,1.2,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,山东,2022,1.6,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,山东,2022,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,山东,2022,28.2,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,山东,2022,0.6,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,山东,2022,15.6,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,山东,2022,0.6,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,山东,2022,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,山东,2022,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,山东,2022,31.5,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,山东,2022,4.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,山东,2022,12.8,亿元
自然灾害,农作物受灾面积 (千公顷) ,山东,2021,108.7,千公顷
自然灾害,农作物绝收面积 (千公顷) ,山东,2021,3.2,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,山东,2021,,千公顷
