数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,山西,2024,1881.0,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,山西,2024,144484.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,山西,2024,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,山西,2024,249143.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,山西,2024,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,山西,2024,127309.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,山西,2024,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,山西,2024,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,山西,2024,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,山西,2024,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,山西,2024,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,山西,2024,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,山西,2024,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,山西,2024,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,山西,2023,1803.54,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,山西,2023,135391.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,山西,2023,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,山西,2023,257751.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,山西,2023,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,山西,2023,119087.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,山西,2023,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,山西,2023,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,山西,2023,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,山西,2023,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,山西,2023,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,山西,2023,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,山西,2023,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,山西,2023,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,山西,2022,1714.27,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,山西,2022,126008.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,山西,2022,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,山西,2022,265697.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,山西,2022,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,山西,2022,111469.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,山西,2022,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,山西,2022,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,山西,2022,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,山西,2022,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,山西,2022,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,山西,2022,,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,山西,2022,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,山西,2022,,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,山西,2021,1654.25,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,山西,2021,118953.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,山西,2021,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,山西,2021,272826.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,山西,2021,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,山西,2021,104545.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,山西,2021,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,山西,2021,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,山西,2021,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,山西,2021,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,山西,2021,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,山西,2021,37397.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,山西,2021,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,山西,2021,54375.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,山西,2020,1595.26,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,山西,2020,113170.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,山西,2020,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,山西,2020,278752.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,山西,2020,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,山西,2020,100288.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,山西,2020,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,山西,2020,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,山西,2020,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,山西,2020,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,山西,2020,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,山西,2020,34950.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,山西,2020,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,山西,2020,53521.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,山西,2019,1517.57,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,山西,2019,104580.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,山西,2019,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,山西,2019,279847.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,山西,2019,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,山西,2019,93609.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,山西,2019,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,山西,2019,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,山西,2019,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,山西,2019,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,山西,2019,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,山西,2019,32734.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,山西,2019,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,山西,2019,52663.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,山西,2018,1441.09,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,山西,2018,98700.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,山西,2018,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,山西,2018,280700.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,山西,2018,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,山西,2018,89200.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,山西,2018,,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,山西,2018,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,山西,2018,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,山西,2018,,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,山西,2018,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,山西,2018,30600.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,山西,2018,,万千瓦
主要农业机械年末拥有量,机动脱粒机数量 (台) ,山西,2018,52100.0,台
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,山西,2017,1376.3,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,山西,2017,130800.0,台
主要农业机械年末拥有量,农用大中型拖拉机动力 (万千瓦) ,山西,2017,,万千瓦
主要农业机械年末拥有量,小型拖拉机数量 (台) ,山西,2017,241500.0,台
主要农业机械年末拥有量,小型拖拉机动力 (万千瓦) ,山西,2017,,万千瓦
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,山西,2017,254900.0,部
主要农业机械年末拥有量,小型拖拉机配套农具 (部) ,山西,2017,280600.0,部
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,山西,2017,,台
主要农业机械年末拥有量,农用排灌电动机动力 (万千瓦) ,山西,2017,,万千瓦
主要农业机械年末拥有量,农用排灌柴油机数量 (台) ,山西,2017,17300.0,台
主要农业机械年末拥有量,农用排灌柴油机动力 (万千瓦) ,山西,2017,,万千瓦
主要农业机械年末拥有量,联合收割机数量 (台) ,山西,2017,27700.0,台
主要农业机械年末拥有量,联合收割机动力 (万千瓦) ,山西,2017,,万千瓦
