数据集名称,指标名称,地区,年份,数值,单位
乡村户数和乡村人口,乡村户数 (万户) ,山西,2012,791.89,万户
乡村户数和乡村人口,乡村人口 (万人) ,山西,2012,2415.0,万人
乡村户数和乡村人口,乡村户数 (万户) ,山西,2011,758.37,万户
乡村户数和乡村人口,乡村人口 (万人) ,山西,2011,2400.87,万人
乡村户数和乡村人口,乡村户数 (万户) ,山西,2010,694.42,万户
乡村户数和乡村人口,乡村人口 (万人) ,山西,2010,2393.83,万人
乡村户数和乡村人口,乡村户数 (万户) ,山西,2009,672.03,万户
乡村户数和乡村人口,乡村人口 (万人) ,山西,2009,2376.72,万人
乡村户数和乡村人口,乡村户数 (万户) ,山西,2008,657.47,万户
乡村户数和乡村人口,乡村人口 (万人) ,山西,2008,2369.99,万人
乡村户数和乡村人口,乡村户数 (万户) ,山西,2007,650.08,万户
乡村户数和乡村人口,乡村人口 (万人) ,山西,2007,2368.18,万人
乡村户数和乡村人口,乡村户数 (万户) ,山西,2006,644.24,万户
乡村户数和乡村人口,乡村人口 (万人) ,山西,2006,2361.56,万人
乡村户数和乡村人口,乡村户数 (万户) ,山西,2005,638.39,万户
乡村户数和乡村人口,乡村人口 (万人) ,山西,2005,2354.94,万人
