数据集名称,指标名称,地区,年份,数值,单位
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,山西,2024,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,山西,2024,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,山西,2024,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,山西,2024,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,山西,2024,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,山西,2024,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,山西,2023,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,山西,2023,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,山西,2023,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,山西,2023,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,山西,2023,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,山西,2023,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,山西,2022,,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,山西,2022,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,山西,2022,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,山西,2022,,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,山西,2022,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,山西,2022,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,山西,2021,382.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,山西,2021,,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,山西,2021,,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,山西,2021,60945.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,山西,2021,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,山西,2021,,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,山西,2020,2058.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,山西,2020,208801.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,山西,2020,1600.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,山西,2020,60945.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,山西,2020,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,山西,2020,31216.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,山西,2019,3607.48,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,山西,2019,207521.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,山西,2019,895.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,山西,2019,60945.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,山西,2019,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,山西,2019,30229.52,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,山西,2018,5580.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,山西,2018,206626.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,山西,2018,7755.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,山西,2018,60945.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,山西,2018,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,山西,2018,42452.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,山西,2017,3765.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,山西,2017,198871.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,山西,2017,3075.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,山西,2017,61945.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,山西,2017,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,山西,2017,39129.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,山西,2016,8149.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,山西,2016,196341.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,山西,2016,2430.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,山西,2016,63445.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,山西,2016,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,山西,2016,40244.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,山西,2015,4268.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,山西,2015,193911.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,山西,2015,3390.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,山西,2015,64700.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,山西,2015,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,山西,2015,32425.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,山西,2014,9846.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,山西,2014,191296.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,山西,2014,19340.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,山西,2014,66090.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,山西,2014,2390.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,山西,2014,30859.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,山西,2013,8754.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,山西,2013,185891.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,山西,2013,11850.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,山西,2013,65610.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,山西,2013,,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,山西,2013,34093.0,万千瓦时
农村水电建设和发电量,农村水电建设本年完成投资额 (万元) ,山西,2012,5954.0,万元
农村水电建设和发电量,农村发电设备容量 (千瓦) ,山西,2012,179166.0,千瓦
农村水电建设和发电量,农村新增发电设备容量 (千瓦) ,山西,2012,4075.0,千瓦
农村水电建设和发电量,农村在建电站规模 (千瓦) ,山西,2012,66890.0,千瓦
农村水电建设和发电量,农村当年新开工电站规模 (千瓦) ,山西,2012,2390.0,千瓦
农村水电建设和发电量,农村发电量 (万千瓦时) ,山西,2012,35689.0,万千瓦时
