数据集名称,指标名称,地区,年份,数值,单位
主要农作物播种面积,农作物总播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,粮食作物播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,秋收粮食播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,谷物播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,稻谷播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,早稻播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,小麦播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,春小麦播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,玉米播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,谷子播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,高粱播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,大麦播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,豆类播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,绿豆播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,红小豆播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,薯类播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,马铃薯播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,青饲料播种面积 (千公顷) ,广东,2024,,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,广东,2023,4587.27,千公顷
主要农作物播种面积,粮食作物播种面积 (千公顷) ,广东,2023,2229.51,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,广东,2023,,千公顷
主要农作物播种面积,秋收粮食播种面积 (千公顷) ,广东,2023,,千公顷
主要农作物播种面积,谷物播种面积 (千公顷) ,广东,2023,1963.56,千公顷
主要农作物播种面积,稻谷播种面积 (千公顷) ,广东,2023,1827.61,千公顷
主要农作物播种面积,早稻播种面积 (千公顷) ,广东,2023,,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,广东,2023,,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,广东,2023,,千公顷
主要农作物播种面积,小麦播种面积 (千公顷) ,广东,2023,0.66,千公顷
