数据集名称,指标名称,地区,年份,数值,单位
乡村户数和乡村人口,乡村户数 (万户) ,广东,2012,1720.29,万户
乡村户数和乡村人口,乡村人口 (万人) ,广东,2012,6936.95,万人
乡村户数和乡村人口,乡村户数 (万户) ,广东,2011,1702.32,万户
乡村户数和乡村人口,乡村人口 (万人) ,广东,2011,6874.36,万人
乡村户数和乡村人口,乡村户数 (万户) ,广东,2010,1686.62,万户
乡村户数和乡村人口,乡村人口 (万人) ,广东,2010,6805.44,万人
乡村户数和乡村人口,乡村户数 (万户) ,广东,2009,1660.8,万户
乡村户数和乡村人口,乡村人口 (万人) ,广东,2009,6805.17,万人
乡村户数和乡村人口,乡村户数 (万户) ,广东,2008,1618.24,万户
乡村户数和乡村人口,乡村人口 (万人) ,广东,2008,6729.0,万人
乡村户数和乡村人口,乡村户数 (万户) ,广东,2007,1574.38,万户
乡村户数和乡村人口,乡村人口 (万人) ,广东,2007,6575.08,万人
乡村户数和乡村人口,乡村户数 (万户) ,广东,2006,1557.61,万户
乡村户数和乡村人口,乡村人口 (万人) ,广东,2006,6513.32,万人
乡村户数和乡村人口,乡村户数 (万户) ,广东,2005,1540.84,万户
乡村户数和乡村人口,乡村人口 (万人) ,广东,2005,6451.55,万人
