数据集名称,指标名称,地区,年份,数值,单位
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广东,2012,0.53,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广东,2012,0.6,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广东,2012,0.1,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广东,2012,0.07,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广东,2011,0.53,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广东,2011,0.58,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广东,2011,0.11,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广东,2011,0.07,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广东,2010,0.65,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广东,2010,0.31,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广东,2010,0.12,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广东,2010,0.07,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广东,2009,0.67,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广东,2009,0.29,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广东,2009,0.12,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广东,2009,0.08,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广东,2008,0.66,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广东,2008,0.28,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广东,2008,0.12,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广东,2008,0.09,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广东,2007,0.67,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广东,2007,0.26,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广东,2007,0.11,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广东,2007,0.09,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广东,2006,0.66,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广东,2006,0.27,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广东,2006,0.11,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广东,2006,0.09,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广东,2005,0.66,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广东,2005,0.37,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广东,2005,0.1,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广东,2005,0.1,亩/人
