数据集名称,指标名称,地区,年份,数值,单位
水利设施和除涝面积,水库数 (座) ,广东,2024,7221.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2024,453.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2024,536.93,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2024,2238.06,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2023,7293.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2023,453.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2023,536.93,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2023,2171.83,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2022,7451.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2022,452.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2022,535.06,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2022,2091.13,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2021,7665.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2021,453.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2021,552.74,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2021,2034.54,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2020,8086.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2020,455.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2020,543.82,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2020,1953.71,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2019,8352.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2019,455.56,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2019,541.89,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2019,1858.08,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2018,8394.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2018,449.59,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2018,541.24,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2018,1757.89,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2017,8389.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2017,448.3,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2017,545.54,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2017,1638.7,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2016,8392.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2016,448.31,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2016,542.68,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2016,1536.17,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2015,8397.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2015,448.32,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2015,536.53,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2015,1457.52,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2014,8403.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2014,448.45,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2014,526.1,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2014,1384.91,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2013,8410.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2013,444.92,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2013,524.56,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2013,1349.46,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2012,7486.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2012,430.42,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2012,521.04,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2012,1428.62,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2011,7475.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2011,430.37,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2011,519.08,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2011,1418.72,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2010,7437.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2010,429.0,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2010,514.5,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2010,1378.5,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2009,7424.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2009,428.67,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2009,512.64,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2009,1369.12,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2008,7059.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2008,424.53,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2008,509.66,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2008,1342.1,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2007,6874.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2007,422.18,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2007,507.09,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2007,1332.98,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2006,6621.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2006,416.62,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2006,502.84,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2006,1313.59,千公顷
水利设施和除涝面积,水库数 (座) ,广东,2005,6610.0,座
水利设施和除涝面积,水库总库容量 (亿立方米) ,广东,2005,415.41,亿立方米
水利设施和除涝面积,除涝面积 (千公顷) ,广东,2005,501.92,千公顷
水利设施和除涝面积,水土流失治理面积 (千公顷) ,广东,2005,1291.11,千公顷
