数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,广东,2024,174.4,千公顷
自然灾害,农作物绝收面积 (千公顷) ,广东,2024,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,广东,2024,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,广东,2024,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,广东,2024,95.8,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,广东,2024,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,广东,2024,2.7,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,广东,2024,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,广东,2024,0.2,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,广东,2024,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,广东,2024,272.3,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,广东,2024,139.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2024,311.4,亿元
自然灾害,农作物受灾面积 (千公顷) ,广东,2023,217.5,千公顷
自然灾害,农作物绝收面积 (千公顷) ,广东,2023,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,广东,2023,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,广东,2023,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,广东,2023,5.6,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,广东,2023,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,广东,2023,,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,广东,2023,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,广东,2023,0.0,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,广东,2023,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,广东,2023,448.6,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,广东,2023,5.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2023,170.2,亿元
自然灾害,农作物受灾面积 (千公顷) ,广东,2022,194.4,千公顷
自然灾害,农作物绝收面积 (千公顷) ,广东,2022,33.7,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,广东,2022,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,广东,2022,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,广东,2022,188.7,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,广东,2022,33.3,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,广东,2022,0.1,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,广东,2022,0.0,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,广东,2022,5.7,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,广东,2022,0.4,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,广东,2022,408.7,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,广东,2022,20.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2022,182.9,亿元
自然灾害,农作物受灾面积 (千公顷) ,广东,2021,76.4,千公顷
自然灾害,农作物绝收面积 (千公顷) ,广东,2021,14.4,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,广东,2021,31.2,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,广东,2021,1.2,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,广东,2021,17.8,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,广东,2021,3.9,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,广东,2021,1.7,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,广东,2021,0.5,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,广东,2021,25.6,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,广东,2021,8.8,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,广东,2021,100.1,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,广东,2021,2.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2021,24.1,亿元
自然灾害,农作物受灾面积 (千公顷) ,广东,2020,84.1,千公顷
自然灾害,农作物绝收面积 (千公顷) ,广东,2020,8.2,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,广东,2020,11.6,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,广东,2020,0.1,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,广东,2020,72.4,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,广东,2020,8.1,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,广东,2020,0.1,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,广东,2020,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,广东,2020,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,广东,2020,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,广东,2020,119.0,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,广东,2020,15.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2020,54.6,亿元
自然灾害,农作物受灾面积 (千公顷) ,广东,2019,144.7,千公顷
自然灾害,农作物绝收面积 (千公顷) ,广东,2019,4.5,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,广东,2019,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,广东,2019,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,广东,2019,142.4,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,广东,2019,4.3,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,广东,2019,1.6,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,广东,2019,0.2,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,广东,2019,0.7,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,广东,2019,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,广东,2019,103.8,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,广东,2019,54.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2019,55.8,亿元
自然灾害,农作物受灾面积 (千公顷) ,广东,2018,547.8,千公顷
自然灾害,农作物绝收面积 (千公顷) ,广东,2018,27.1,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,广东,2018,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,广东,2018,,千公顷
