数据集名称,指标名称,地区,年份,数值,单位
主要农作物播种面积,农作物总播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,粮食作物播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,秋收粮食播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,谷物播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,稻谷播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,早稻播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,小麦播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,春小麦播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,玉米播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,谷子播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,高粱播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,大麦播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,豆类播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,绿豆播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,红小豆播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,薯类播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,马铃薯播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,青饲料播种面积 (千公顷) ,广西,2024,,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,广西,2023,6352.35,千公顷
主要农作物播种面积,粮食作物播种面积 (千公顷) ,广西,2023,2834.72,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,秋收粮食播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,谷物播种面积 (千公顷) ,广西,2023,2396.32,千公顷
主要农作物播种面积,稻谷播种面积 (千公顷) ,广西,2023,1760.76,千公顷
主要农作物播种面积,早稻播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,小麦播种面积 (千公顷) ,广西,2023,4.6,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,春小麦播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,玉米播种面积 (千公顷) ,广西,2023,616.52,千公顷
主要农作物播种面积,谷子播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,高粱播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,大麦播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,豆类播种面积 (千公顷) ,广西,2023,168.61,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,广西,2023,110.07,千公顷
主要农作物播种面积,绿豆播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,红小豆播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,薯类播种面积 (千公顷) ,广西,2023,269.79,千公顷
主要农作物播种面积,马铃薯播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,青饲料播种面积 (千公顷) ,广西,2023,,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,广西,2022,6271.4,千公顷
主要农作物播种面积,粮食作物播种面积 (千公顷) ,广西,2022,2829.31,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,广西,2022,117.98,千公顷
主要农作物播种面积,秋收粮食播种面积 (千公顷) ,广西,2022,1900.68,千公顷
主要农作物播种面积,谷物播种面积 (千公顷) ,广西,2022,2393.79,千公顷
主要农作物播种面积,稻谷播种面积 (千公顷) ,广西,2022,1758.03,千公顷
主要农作物播种面积,早稻播种面积 (千公顷) ,广西,2022,810.65,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,广西,2022,133.58,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,广西,2022,813.8,千公顷
主要农作物播种面积,小麦播种面积 (千公顷) ,广西,2022,4.44,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,广西,2022,4.44,千公顷
主要农作物播种面积,春小麦播种面积 (千公顷) ,广西,2022,,千公顷
主要农作物播种面积,玉米播种面积 (千公顷) ,广西,2022,616.33,千公顷
主要农作物播种面积,谷子播种面积 (千公顷) ,广西,2022,3.13,千公顷
主要农作物播种面积,高粱播种面积 (千公顷) ,广西,2022,3.77,千公顷
