数据集名称,指标名称,地区,年份,数值,单位
乡村从业人员,乡村从业人员 (万人) ,广西,2012,2427.11,万人
乡村从业人员,乡村男性从业人员 (万人) ,广西,2012,1288.22,万人
乡村从业人员,乡村女性从业人员 (万人) ,广西,2012,1138.89,万人
乡村从业人员,乡村从业人员 (万人) ,广西,2011,2406.67,万人
乡村从业人员,乡村男性从业人员 (万人) ,广西,2011,1276.01,万人
乡村从业人员,乡村女性从业人员 (万人) ,广西,2011,1130.66,万人
乡村从业人员,乡村从业人员 (万人) ,广西,2010,2387.2,万人
乡村从业人员,乡村男性从业人员 (万人) ,广西,2010,1262.17,万人
乡村从业人员,乡村女性从业人员 (万人) ,广西,2010,1125.03,万人
乡村从业人员,乡村从业人员 (万人) ,广西,2009,2341.03,万人
乡村从业人员,乡村男性从业人员 (万人) ,广西,2009,1232.52,万人
乡村从业人员,乡村女性从业人员 (万人) ,广西,2009,1108.51,万人
乡村从业人员,乡村从业人员 (万人) ,广西,2008,2306.07,万人
乡村从业人员,乡村男性从业人员 (万人) ,广西,2008,1214.65,万人
乡村从业人员,乡村女性从业人员 (万人) ,广西,2008,1091.42,万人
乡村从业人员,乡村从业人员 (万人) ,广西,2007,2276.73,万人
乡村从业人员,乡村男性从业人员 (万人) ,广西,2007,1199.81,万人
乡村从业人员,乡村女性从业人员 (万人) ,广西,2007,1076.92,万人
乡村从业人员,乡村从业人员 (万人) ,广西,2006,2309.81,万人
乡村从业人员,乡村男性从业人员 (万人) ,广西,2006,1222.77,万人
乡村从业人员,乡村女性从业人员 (万人) ,广西,2006,1087.04,万人
乡村从业人员,乡村从业人员 (万人) ,广西,2005,2275.39,万人
乡村从业人员,乡村男性从业人员 (万人) ,广西,2005,1202.11,万人
乡村从业人员,乡村女性从业人员 (万人) ,广西,2005,1073.28,万人
