数据集名称,指标名称,地区,年份,数值,单位
乡村户数和乡村人口,乡村户数 (万户) ,广西,2012,1060.83,万户
乡村户数和乡村人口,乡村人口 (万人) ,广西,2012,4243.35,万人
乡村户数和乡村人口,乡村户数 (万户) ,广西,2011,1039.24,万户
乡村户数和乡村人口,乡村人口 (万人) ,广西,2011,4221.18,万人
乡村户数和乡村人口,乡村户数 (万户) ,广西,2010,1029.14,万户
乡村户数和乡村人口,乡村人口 (万人) ,广西,2010,4203.98,万人
乡村户数和乡村人口,乡村户数 (万户) ,广西,2009,1015.54,万户
乡村户数和乡村人口,乡村人口 (万人) ,广西,2009,4169.72,万人
乡村户数和乡村人口,乡村户数 (万户) ,广西,2008,1000.11,万户
乡村户数和乡村人口,乡村人口 (万人) ,广西,2008,4135.93,万人
乡村户数和乡村人口,乡村户数 (万户) ,广西,2007,990.74,万户
乡村户数和乡村人口,乡村人口 (万人) ,广西,2007,4111.98,万人
乡村户数和乡村人口,乡村户数 (万户) ,广西,2006,1002.34,万户
乡村户数和乡村人口,乡村人口 (万人) ,广西,2006,4177.63,万人
乡村户数和乡村人口,乡村户数 (万户) ,广西,2005,986.1,万户
乡村户数和乡村人口,乡村人口 (万人) ,广西,2005,4146.19,万人
