数据集名称,指标名称,地区,年份,数值,单位
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广西,2012,1.37,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广西,2012,0.83,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广西,2012,0.15,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广西,2012,0.04,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广西,2011,1.3,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广西,2011,0.81,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广西,2011,0.15,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广西,2011,0.04,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广西,2010,1.43,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广西,2010,0.64,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广西,2010,0.14,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广西,2010,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广西,2009,1.43,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广西,2009,0.61,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广西,2009,0.17,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广西,2009,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广西,2008,1.37,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广西,2008,0.57,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广西,2008,0.16,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广西,2008,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广西,2007,1.32,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广西,2007,0.59,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广西,2007,0.16,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广西,2007,0.03,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广西,2006,1.31,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广西,2006,0.63,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广西,2006,0.14,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广西,2006,0.03,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,广西,2005,1.31,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,广西,2005,0.63,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,广西,2005,0.14,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,广西,2005,0.03,亩/人
