数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,广西,2024,272.1,千公顷
自然灾害,农作物绝收面积 (千公顷) ,广西,2024,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,广西,2024,,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,广西,2024,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,广西,2024,122.9,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,广西,2024,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,广西,2024,26.2,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,广西,2024,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,广西,2024,6.1,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,广西,2024,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,广西,2024,440.0,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,广西,2024,20.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,广西,2024,132.0,亿元
自然灾害,农作物受灾面积 (千公顷) ,广西,2023,219.8,千公顷
自然灾害,农作物绝收面积 (千公顷) ,广西,2023,,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,广西,2023,107.2,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,广西,2023,,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,广西,2023,40.8,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,广西,2023,,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,广西,2023,2.7,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,广西,2023,,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,广西,2023,0.8,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,广西,2023,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,广西,2023,441.7,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,广西,2023,22.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,广西,2023,73.1,亿元
自然灾害,农作物受灾面积 (千公顷) ,广西,2022,376.0,千公顷
自然灾害,农作物绝收面积 (千公顷) ,广西,2022,33.1,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,广西,2022,113.4,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,广西,2022,7.9,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,广西,2022,245.4,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,广西,2022,24.1,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,广西,2022,0.4,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,广西,2022,0.2,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,广西,2022,16.8,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,广西,2022,0.8,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,广西,2022,713.9,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,广西,2022,25.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,广西,2022,168.9,亿元
自然灾害,农作物受灾面积 (千公顷) ,广西,2021,152.4,千公顷
自然灾害,农作物绝收面积 (千公顷) ,广西,2021,11.1,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,广西,2021,97.3,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,广西,2021,5.6,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,广西,2021,47.8,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,广西,2021,4.2,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,广西,2021,3.6,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,广西,2021,0.3,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,广西,2021,3.6,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,广西,2021,1.0,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,广西,2021,261.1,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,广西,2021,7.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,广西,2021,22.8,亿元
自然灾害,农作物受灾面积 (千公顷) ,广西,2020,279.3,千公顷
自然灾害,农作物绝收面积 (千公顷) ,广西,2020,19.9,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,广西,2020,136.1,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,广西,2020,3.2,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,广西,2020,136.4,千公顷
自然灾害,洪涝、地质灾害和台风绝收面积 (千公顷) ,广西,2020,16.3,千公顷
自然灾害,风雹灾害受灾面积 (千公顷) ,广西,2020,6.8,千公顷
自然灾害,风雹灾害绝收面积 (千公顷) ,广西,2020,0.4,千公顷
自然灾害,低温冷冻和雪灾受灾面积 (千公顷) ,广西,2020,,千公顷
自然灾害,低温冷冻和雪灾绝收面积 (千公顷) ,广西,2020,,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,广西,2020,336.9,万人次
自然灾害,自然灾害受灾死亡人口 (人) ,广西,2020,38.0,人
自然灾害,自然灾害直接经济损失 (亿元) ,广西,2020,118.7,亿元
自然灾害,农作物受灾面积 (千公顷) ,广西,2019,247.8,千公顷
自然灾害,农作物绝收面积 (千公顷) ,广西,2019,24.9,千公顷
自然灾害,旱灾受灾面积 (千公顷) ,广西,2019,26.3,千公顷
自然灾害,旱灾绝收面积 (千公顷) ,广西,2019,1.7,千公顷
自然灾害,洪涝、地质灾害和台风受灾面积 (千公顷) ,广西,2019,217.1,千公顷
