数据集名称,指标名称,地区,年份,数值,单位
乡村户数和乡村人口,乡村户数 (万户) ,新疆,2012,270.21,万户
乡村户数和乡村人口,乡村人口 (万人) ,新疆,2012,1121.31,万人
乡村户数和乡村人口,乡村户数 (万户) ,新疆,2011,262.73,万户
乡村户数和乡村人口,乡村人口 (万人) ,新疆,2011,1096.33,万人
乡村户数和乡村人口,乡村户数 (万户) ,新疆,2010,255.15,万户
乡村户数和乡村人口,乡村人口 (万人) ,新疆,2010,1073.72,万人
乡村户数和乡村人口,乡村户数 (万户) ,新疆,2009,245.68,万户
乡村户数和乡村人口,乡村人口 (万人) ,新疆,2009,1051.92,万人
乡村户数和乡村人口,乡村户数 (万户) ,新疆,2008,236.4,万户
乡村户数和乡村人口,乡村人口 (万人) ,新疆,2008,1029.77,万人
乡村户数和乡村人口,乡村户数 (万户) ,新疆,2007,233.37,万户
乡村户数和乡村人口,乡村人口 (万人) ,新疆,2007,1016.17,万人
乡村户数和乡村人口,乡村户数 (万户) ,新疆,2006,228.65,万户
乡村户数和乡村人口,乡村人口 (万人) ,新疆,2006,1002.89,万人
乡村户数和乡村人口,乡村户数 (万户) ,新疆,2005,223.92,万户
乡村户数和乡村人口,乡村人口 (万人) ,新疆,2005,989.6,万人
