数据集名称,指标名称,地区,年份,数值,单位
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,江苏,2012,1.25,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,江苏,2012,0.01,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,江苏,2012,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,江苏,2012,0.12,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,江苏,2011,1.22,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,江苏,2011,0.01,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,江苏,2011,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,江苏,2011,0.1,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,江苏,2010,1.12,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,江苏,2010,0.01,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,江苏,2010,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,江苏,2010,0.14,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,江苏,2009,1.12,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,江苏,2009,0.01,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,江苏,2009,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,江苏,2009,0.14,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,江苏,2008,1.14,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,江苏,2008,0.01,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,江苏,2008,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,江苏,2008,0.16,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,江苏,2007,1.09,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,江苏,2007,0.01,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,江苏,2007,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,江苏,2007,0.17,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,江苏,2006,1.11,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,江苏,2006,0.01,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,江苏,2006,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,江苏,2006,0.13,亩/人
农村居民家庭土地经营情况,农村居民家庭经营耕地面积 (亩/人) ,江苏,2005,1.12,亩/人
农村居民家庭土地经营情况,农村居民家庭经营山地面积 (亩/人) ,江苏,2005,0.01,亩/人
农村居民家庭土地经营情况,农村居民家庭园地面积 (亩/人) ,江苏,2005,0.02,亩/人
农村居民家庭土地经营情况,农村居民家庭养殖水面面积 (亩/人) ,江苏,2005,0.11,亩/人
